model,arm,checkpoint,probe_name,layer,native_object,n_samples,normalized_entropy_effective_rank,participation_ratio,top1_explained_share,top8_explained_share,top32_explained_share,raw_anisotropy,centered_anisotropy,linear_cka_vs_step0,c_epsilon,c5_module_count,c5_source_probe_names,p_k4,p_k8,p_k16,p_k32,pk_track,cumulative_kl_base_to_current,absolute_delta_nll_cumulative,delta_nll_cumulative,sample_count,track,is_opd,row_id
qwen,sft,160,E_if,18,raw residual-stream sample means and centered covariance,32,1.0179067478585022,1.0027451716541913,0.9986302200825624,0.9989565003047834,0.999257436858132,0.9903936982154846,-0.0018198682228103,0.9997886419296264,0.008718235698049321,5,E_if,7.634195120382564e-06,2.123674208373164e-05,7.841336784101706e-05,0.000252632401368,qwen_existing_deployed_effective,0.1235186741403312,0.2904698672582173,0.0865284919690568,541,qwen_d4_merged_state,0,29
qwen,sft,160,E_math,18,raw residual-stream sample means and centered covariance,32,1.0250382593839549,1.0038323607058983,0.9980892930065186,0.9984448085548322,0.9988686133651076,0.9572858214378356,0.0972708836197853,0.9999406337738036,0.00453898321045114,5,E_math,7.634195120382564e-06,2.123674208373164e-05,7.841336784101706e-05,0.000252632401368,qwen_existing_deployed_effective,0.0910046442300081,0.2027569799348711,0.0694814467346295,500,qwen_d4_merged_state,0,30
qwen,sft,160,E_ood,18,raw residual-stream sample means and centered covariance,32,1.1204148790238515,1.0237286028170864,0.9883320350361752,0.9942128551636192,0.9955697677459332,0.91548889875412,-0.02933862619102,0.9561163783073424,0.0034781637440338595,5,E_ood,7.634195120382564e-06,2.123674208373164e-05,7.841336784101706e-05,0.000252632401368,qwen_existing_deployed_effective,0.0389892525054165,0.1211513713933527,0.0021027589955338,128,qwen_d4_merged_state,0,31
qwen,offkd,5,E_general,18,raw residual-stream sample means and centered covariance,32,1.0854793893335424,1.014888121413711,0.9926366291090936,0.9951496507577288,0.996309387742256,0.9370787739753724,-0.0072334734722971,0.9999855756759644,0.00124865861613248,5,E_general,5.656188331418629e-06,1.4941725761933153e-05,4.992145607372227e-05,0.0001671230477638,qwen_existing_deployed_effective,0.0034577588648971,0.0605343906208872,-0.0070279487881634,128,qwen_d4_merged_state,0,32
qwen,offkd,5,E_if,18,raw residual-stream sample means and centered covariance,32,1.017944385380392,1.0027470390623132,0.998629291077762,0.9989476300915614,0.9992511985278056,0.9904410243034364,-0.0045851371251046,0.9999701976776124,-0.00047508133688255996,5,E_if,5.656188331418629e-06,1.4941725761933153e-05,4.992145607372227e-05,0.0001671230477638,qwen_existing_deployed_effective,0.0059114701102544,0.0865357961443678,-0.0216375116496424,541,qwen_d4_merged_state,0,33
qwen,offkd,5,E_math,18,raw residual-stream sample means and centered covariance,32,1.024863591952122,1.0038024540026296,0.9981041616346232,0.9984537751794648,0.9988742523475984,0.956916093826294,0.0972438305616378,0.9999858736991882,-0.00095126848167618,5,E_math,5.656188331418629e-06,1.4941725761933153e-05,4.992145607372227e-05,0.0001671230477638,qwen_existing_deployed_effective,0.0047199525018222,0.0532230763067491,-0.0050037585095269,500,qwen_d4_merged_state,0,34
qwen,offkd,5,E_ood,18,raw residual-stream sample means and centered covariance,32,1.1222367687736208,1.024251830372535,0.9880785989723404,0.9941695632755284,0.9955339723154352,0.913859248161316,-0.0296742413192987,0.9832736849784852,-0.00246949291677762,5,E_ood,5.656188331418629e-06,1.4941725761933153e-05,4.992145607372227e-05,0.0001671230477638,qwen_existing_deployed_effective,0.0038682319809595,0.0488096647604834,-0.0039422621807716,128,qwen_d4_merged_state,0,35
qwen,offkd,20,E_general,18,raw residual-stream sample means and centered covariance,32,1.0865751770652652,1.01511788346501,0.9925241981641691,0.9951008627670732,0.9962735020503516,0.9363633394241332,-0.0073318863287568,0.9999027252197266,0.0023416101742902403,5,E_general,8.860182642170652e-06,2.221866855377032e-05,7.047175170424876e-05,0.0002142885090766,qwen_existing_deployed_effective,0.0078353098360821,0.0876476093544624,-0.0047583684981873,128,qwen_d4_merged_state,0,36
qwen,offkd,20,E_if,18,raw residual-stream sample means and centered covariance,32,1.0179924147259156,1.002754874969212,0.9986253890622502,0.9989451678623192,0.9992495652340688,0.9903844594955444,-0.003721225541085,0.9998981356620787,-0.0054955122092235605,5,E_if,8.860182642170652e-06,2.221866855377032e-05,7.047175170424876e-05,0.0002142885090766,qwen_existing_deployed_effective,0.016504170226756,0.1362697595176106,-0.024357691545783,541,qwen_d4_merged_state,0,37
qwen,offkd,20,E_math,18,raw residual-stream sample means and centered covariance,32,1.0251861816815098,1.00385377615483,0.9980786468036236,0.9984324775950548,0.9988575038149892,0.9566006660461426,0.097064197063446,0.9998881220817566,-0.0034791866408240397,5,E_math,8.860182642170652e-06,2.221866855377032e-05,7.047175170424876e-05,0.0002142885090766,qwen_existing_deployed_effective,0.0111479984179604,0.0795901548545807,0.0002527322068344,500,qwen_d4_merged_state,0,38
