model,arm,checkpoint,probe_name,layer,c_epsilon,c5_module_count,c5_source_probe_names,p_k4,p_k8,p_k16,p_k32,pk_track,cumulative_kl_base_to_current,absolute_delta_nll_cumulative,delta_nll_cumulative,sample_count,track
qwen,seqkd,20,E_math,18,-0.0026567841385293,5,E_math,8.867307250121875e-06,2.0640350352810595e-05,7.27533186883454e-05,0.0002136252915078,qwen_existing_deployed_effective,0.0120131831597536,0.0816008016299456,0.0014397830162197,500,qwen_d4_merged_state
qwen,seqkd,20,E_ood,18,-0.0032697530058094803,5,E_ood,8.867307250121875e-06,2.0640350352810595e-05,7.27533186883454e-05,0.0002136252915078,qwen_existing_deployed_effective,0.0079595982824685,0.0704033162764972,-0.0070134995830812,128,qwen_d4_merged_state
qwen,seqkd,40,E_general,18,0.0046601969882930205,5,E_general,8.504551942678518e-06,2.038148860654993e-05,7.821849820693963e-05,0.0002306894046861,qwen_existing_deployed_effective,0.0108204599346208,0.1027364564943127,0.0025745370930962,128,qwen_d4_merged_state
qwen,seqkd,40,E_if,18,-0.00231768022810732,5,E_if,8.504551942678518e-06,2.038148860654993e-05,7.821849820693963e-05,0.0002306894046861,qwen_existing_deployed_effective,0.0235984548676738,0.160395352614014,-0.0062782114045436,541,qwen_d4_merged_state
qwen,seqkd,40,E_math,18,-0.00072897175325792,5,E_math,8.504551942678518e-06,2.038148860654993e-05,7.821849820693963e-05,0.0002306894046861,qwen_existing_deployed_effective,0.0193116710111498,0.1001785539109259,0.0099843754277098,500,qwen_d4_merged_state
qwen,seqkd,40,E_ood,18,-0.0006983845571022602,5,E_ood,8.504551942678518e-06,2.038148860654993e-05,7.821849820693963e-05,0.0002306894046861,qwen_existing_deployed_effective,0.0114194500383746,0.0840859423042275,-0.0054862789284015,128,qwen_d4_merged_state
qwen,seqkd,160,E_general,18,0.014861814637851661,5,E_general,5.940400382899368e-06,2.107973702030514e-05,7.3581991013516e-05,0.0002408270613938,qwen_existing_deployed_effective,0.018338728659728,0.1329891317291185,0.0084676781461894,128,qwen_d4_merged_state
qwen,seqkd,160,E_if,18,0.020650349253684523,5,E_if,5.940400382899368e-06,2.107973702030514e-05,7.3581991013516e-05,0.0002408270613938,qwen_existing_deployed_effective,0.0399421468177421,0.2038714413680893,0.0241786665920092,541,qwen_d4_merged_state
qwen,seqkd,160,E_math,18,0.0197661617401032,5,E_math,5.940400382899368e-06,2.107973702030514e-05,7.3581991013516e-05,0.0002408270613938,qwen_existing_deployed_effective,0.0456983570940792,0.1530491204373538,0.0324160587214864,500,qwen_d4_merged_state
qwen,seqkd,160,E_ood,18,0.01810994878818772,5,E_ood,5.940400382899368e-06,2.107973702030514e-05,7.3581991013516e-05,0.0002408270613938,qwen_existing_deployed_effective,0.0244854497068445,0.1167253816965967,0.001742863052641,128,qwen_d4_merged_state
