model,arm,checkpoint,probe_name,layer,native_object,n_samples,normalized_entropy_effective_rank,participation_ratio,top1_explained_share,top8_explained_share,top32_explained_share,raw_anisotropy,centered_anisotropy,linear_cka_vs_step0
qwen,opd,40,E_math,18,raw residual-stream sample means and centered covariance,32,1.0252163235503287,1.0038627109320224,0.9980742049519705,0.9984303586175219,0.9988600523905972,0.9563950896263123,0.09581845253705978,0.9999672174453735
qwen,opd,40,E_ood,18,raw residual-stream sample means and centered covariance,32,1.125888793688464,1.0253669458557806,0.9875388664838886,0.9941119884068526,0.9955000060920073,0.915513813495636,-0.029524067416787148,0.9893866777420044
qwen,opd,160,E_general,18,raw residual-stream sample means and centered covariance,32,1.0880133637595861,1.0155093318247599,0.9923326193893731,0.9950759106115135,0.9962670200981949,0.9372540712356567,-0.007526657078415155,0.9997455477714539
qwen,opd,160,E_if,18,raw residual-stream sample means and centered covariance,32,1.0182839525007417,1.0028061502325643,0.9985998571528546,0.9989298270156791,0.9992392246536024,0.9900854229927063,-0.0029880076181143522,0.9996589422225952
qwen,opd,160,E_math,18,raw residual-stream sample means and centered covariance,32,1.0253777598952416,1.003890788903272,0.9980602468652497,0.998420355353865,0.9988535445038698,0.9572868347167969,0.0976685956120491,0.9998973608016968
qwen,opd,160,E_ood,18,raw residual-stream sample means and centered covariance,32,1.127341479221019,1.0261708906029743,0.9871491203437223,0.9942195533146895,0.9955886650984119,0.9226142168045044,-0.029179733246564865,0.9970377683639526
qwen,sft,5,E_general,18,raw residual-stream sample means and centered covariance,32,1.085399595038116,1.0148648788785917,0.9926480125579955,0.9951494206475138,0.9963085080276498,0.9372580051422119,-0.007295289076864719,0.9999983906745911
qwen,sft,5,E_if,18,raw residual-stream sample means and centered covariance,32,1.0179929361631375,1.0027552729830815,0.9986251910066891,0.99894447268631,0.9992490318829962,0.9904348254203796,-0.0046616001054644585,0.999991774559021
qwen,sft,5,E_math,18,raw residual-stream sample means and centered covariance,32,1.0249070389909947,1.003809664261841,0.9981005769268697,0.9984509905491292,0.9988722520349675,0.9570538401603699,0.09687495976686478,0.9999977350234985
qwen,sft,5,E_ood,18,raw residual-stream sample means and centered covariance,32,1.124152850236756,1.0250809296793288,0.9876765267458033,0.994231002883272,0.9955819208916408,0.9200966954231262,-0.029008110985159874,0.9999521970748901
qwen,sft,20,E_general,18,raw residual-stream sample means and centered covariance,32,1.085684152142357,1.0149205348466224,0.9926207791076727,0.995134342057266,0.996297277777799,0.9371904134750366,-0.007282845210283995,0.9999893307685852
qwen,sft,20,E_if,18,raw residual-stream sample means and centered covariance,32,1.0180353937540452,1.0027623524443205,0.9986216657682845,0.9989420639593442,0.9992473101067952,0.9904041290283203,-0.004696534480899572,0.9999906420707703
qwen,sft,20,E_math,18,raw residual-stream sample means and centered covariance,32,1.024943150051311,1.003815371091153,0.9980977397141911,0.9984484053627966,0.998870247163608,0.9569709300994873,0.09716141223907471,0.999995231628418
qwen,sft,20,E_ood,18,raw residual-stream sample means and centered covariance,32,1.1229028639938128,1.0245113512610693,0.9879527673860322,0.9941808848359801,0.9955431206482744,0.9158248901367188,-0.0295998677611351,0.9901294112205505
