model,target,task_type,feature_block,heldout_checkpoint,selected_regularization,selection_metric,inner_grid,test_n,test_r2,test_mae,test_spearman,target_mean,target_std,test_auc,test_log_loss,test_balanced_accuracy,n_positive,n_negative
qwen,cumulative_kl_base_to_current,regression,Pk5+C5,20,0.0001,inner_mae,"[{""inner_loss"": 0.022928939413453184, ""regularization"": 0.0}, {""inner_loss"": 0.02291962289305378, ""regularization"": 0.0001}, {""inner_loss"": 0.023035838462251077, ""regularization"": 0.001}, {""inner_loss"": 0.026873258310754485, ""regularization"": 0.01}, {""inner_loss"": 0.037868538440989086, ""regularization"": 0.1}, {""inner_loss"": 0.03320969846909269, ""regularization"": 1.0}, {""inner_loss"": 0.027292629024932968, ""regularization"": 10.0}, {""inner_loss"": 0.032279403315909366, ""regularization"": 100.0}]",16,-2.946782540376204,0.03765504489075393,-0.9205882352941176,0.021015023214663225,0.024644918116642288,,,,,
qwen,cumulative_kl_base_to_current,regression,Pk5+C5,40,10.0,inner_mae,"[{""inner_loss"": 0.033347261269301744, ""regularization"": 0.0}, {""inner_loss"": 0.03335382899575409, ""regularization"": 0.0001}, {""inner_loss"": 0.03340769746136007, ""regularization"": 0.001}, {""inner_loss"": 0.03453879534574019, ""regularization"": 0.01}, {""inner_loss"": 0.03554622603087245, ""regularization"": 0.1}, {""inner_loss"": 0.027390444369219506, ""regularization"": 1.0}, {""inner_loss"": 0.02372323274727069, ""regularization"": 10.0}, {""inner_loss"": 0.030379359054098626, ""regularization"": 100.0}]",16,0.25548323412390894,0.023673456906898437,0.6176470588235293,0.034173240512516176,0.0392244187700837,,,,,
qwen,cumulative_kl_base_to_current,regression,Pk5+C5,160,1.0,inner_mae,"[{""inner_loss"": 0.02422988768726944, ""regularization"": 0.0}, {""inner_loss"": 0.024121086070375646, ""regularization"": 0.0001}, {""inner_loss"": 0.023226612705500457, ""regularization"": 0.001}, {""inner_loss"": 0.01887024988739944, ""regularization"": 0.01}, {""inner_loss"": 0.0170507395714037, ""regularization"": 0.1}, {""inner_loss"": 0.015207299132799617, ""regularization"": 1.0}, {""inner_loss"": 0.015688238153910707, ""regularization"": 10.0}, {""inner_loss"": 0.01960643347414758, ""regularization"": 100.0}]",16,-0.22178019429391882,0.044639139852155035,0.07058823529411765,0.06445930347029369,0.045741215469358235,,,,,
qwen,cumulative_kl_base_to_current,regression,Pk5+A+C5,5,100.0,inner_mae,"[{""inner_loss"": 0.04980886426201899, ""regularization"": 0.0}, {""inner_loss"": 0.039306915835792086, ""regularization"": 0.0001}, {""inner_loss"": 0.038776625016467066, ""regularization"": 0.001}, {""inner_loss"": 0.039449198806849495, ""regularization"": 0.01}, {""inner_loss"": 0.037386269442265044, ""regularization"": 0.1}, {""inner_loss"": 0.03610685296511233, ""regularization"": 1.0}, {""inner_loss"": 0.031499958468967346, ""regularization"": 10.0}, {""inner_loss"": 0.031479302907881306, ""regularization"": 100.0}]",16,-198.8258155055609,0.02101645383722436,0.6941176470588235,0.0035608293040240374,0.0016072364842735997,,,,,
qwen,cumulative_kl_base_to_current,regression,Pk5+A+C5,20,0.001,inner_mae,"[{""inner_loss"": 0.031814856166546855, ""regularization"": 0.0}, {""inner_loss"": 0.025999982226305212, ""regularization"": 0.0001}, {""inner_loss"": 0.024189152056005442, ""regularization"": 0.001}, {""inner_loss"": 0.025244295251673817, ""regularization"": 0.01}, {""inner_loss"": 0.03852162054802394, ""regularization"": 0.1}, {""inner_loss"": 0.035786726511930954, ""regularization"": 1.0}, {""inner_loss"": 0.030256427859504584, ""regularization"": 10.0}, {""inner_loss"": 0.032270748423871766, ""regularization"": 100.0}]",16,-2.988512499840087,0.037845074160632014,-0.8088235294117646,0.021015023214663225,0.024644918116642288,,,,,
qwen,cumulative_kl_base_to_current,regression,Pk5+A+C5,40,10.0,inner_mae,"[{""inner_loss"": 0.04341954128022641, ""regularization"": 0.0}, {""inner_loss"": 0.036409958404680455, ""regularization"": 0.0001}, {""inner_loss"": 0.03607705973729098, ""regularization"": 0.001}, {""inner_loss"": 0.03691217325785024, ""regularization"": 0.01}, {""inner_loss"": 0.036963877705904376, ""regularization"": 0.1}, {""inner_loss"": 0.030177936203366586, ""regularization"": 1.0}, {""inner_loss"": 0.02598278691059434, ""regularization"": 10.0}, {""inner_loss"": 0.030088724021075555, ""regularization"": 100.0}]",16,0.3314992735745864,0.02421714327148375,0.8558823529411764,0.034173240512516176,0.0392244187700837,,,,,
qwen,cumulative_kl_base_to_current,regression,Pk5+A+C5,160,1.0,inner_mae,"[{""inner_loss"": 0.024715862029941537, ""regularization"": 0.0}, {""inner_loss"": 0.023113407094726854, ""regularization"": 0.0001}, {""inner_loss"": 0.022126598364946997, ""regularization"": 0.001}, {""inner_loss"": 0.017398198780791737, ""regularization"": 0.01}, {""inner_loss"": 0.015745962299910227, ""regularization"": 0.1}, {""inner_loss"": 0.013974253997555731, ""regularization"": 1.0}, {""inner_loss"": 0.014617987267150702, ""regularization"": 10.0}, {""inner_loss"": 0.01904935445215961, ""regularization"": 100.0}]",16,-0.5916092602694742,0.05153386469449399,0.0,0.06445930347029369,0.045741215469358235,,,,,
qwen,absolute_delta_nll_cumulative,regression,A,5,0.0,inner_mae,"[{""inner_loss"": 0.07178898236839813, ""regularization"": 0.0}, {""inner_loss"": 0.07219036218805236, ""regularization"": 0.0001}, {""inner_loss"": 0.07659888387428583, ""regularization"": 0.001}, {""inner_loss"": 0.07838441877665346, ""regularization"": 0.01}, {""inner_loss"": 0.07940553649402728, ""regularization"": 0.1}, {""inner_loss"": 0.07984914087089563, ""regularization"": 1.0}, {""inner_loss"": 0.07894846585048843, ""regularization"": 10.0}, {""inner_loss"": 0.07821028350789125, ""regularization"": 100.0}]",16,-25.986057975226263,0.06603479205306373,0.43529411764705883,0.05286990423701678,0.01657499811755361,,,,,
qwen,absolute_delta_nll_cumulative,regression,A,20,0.0,inner_mae,"[{""inner_loss"": 0.08107980790307372, ""regularization"": 0.0}, {""inner_loss"": 0.0958419131471593, ""regularization"": 0.0001}, {""inner_loss"": 0.10316393603861795, ""regularization"": 0.001}, {""inner_loss"": 0.09949549496065725, ""regularization"": 0.01}, {""inner_loss"": 0.09572330482904558, ""regularization"": 0.1}, {""inner_loss"": 0.09472718844302828, ""regularization"": 1.0}, {""inner_loss"": 0.09352489493703699, ""regularization"": 10.0}, {""inner_loss"": 0.09601238916229626, ""regularization"": 100.0}]",16,-0.19257701273973526,0.058019873888741184,0.3764705882352941,0.11514390732239721,0.0724945098076516,,,,,
qwen,absolute_delta_nll_cumulative,regression,A,40,0.0,inner_mae,"[{""inner_loss"": 0.08603774153736925, ""regularization"": 0.0}, {""inner_loss"": 0.09183056816166409, ""regularization"": 0.0001}, {""inner_loss"": 0.09676953792456816, ""regularization"": 0.001}, {""inner_loss"": 0.09026090772591892, ""regularization"": 0.01}, {""inner_loss"": 0.09269841014814591, ""regularization"": 0.1}, {""inner_loss"": 0.09705765683520821, ""regularization"": 1.0}, {""inner_loss"": 0.09694295473187202, ""regularization"": 10.0}, {""inner_loss"": 0.09614334748741331, ""regularization"": 100.0}]",16,0.47359330806220645,0.039899759621185166,0.8558823529411764,0.14697385695170612,0.08903768165223307,,,,,
