model,target,task_type,feature_block,heldout_checkpoint,selected_regularization,inner_grid,test_n,r2_oof,mae_oof,spearman_oof,auc_oof,log_loss_oof,balanced_accuracy_oof
llama,cumulative_kl_base_to_current,regression,Pk5+C5,5,0.1,"[{""inner_mean_mae"": 0.03661852908735292, ""regularization"": 0.0}, {""inner_mean_mae"": 0.036604126511412476, ""regularization"": 0.0001}, {""inner_mean_mae"": 0.0364761555794191, ""regularization"": 0.001}, {""inner_mean_mae"": 0.03534103159651305, ""regularization"": 0.01}, {""inner_mean_mae"": 0.03278822423360559, ""regularization"": 0.1}, {""inner_mean_mae"": 0.03554401478740187, ""regularization"": 1.0}, {""inner_mean_mae"": 0.03669506958554091, ""regularization"": 10.0}, {""inner_mean_mae"": 0.040434522102996924, ""regularization"": 100.0}]",16,-2545.9635436173426,0.05136219446842357,0.7764705882352941,,,
llama,cumulative_kl_base_to_current,regression,Pk5+C5,20,1.0,"[{""inner_mean_mae"": 0.03353332060646944, ""regularization"": 0.0}, {""inner_mean_mae"": 0.03352980716529725, ""regularization"": 0.0001}, {""inner_mean_mae"": 0.033498236079047235, ""regularization"": 0.001}, {""inner_mean_mae"": 0.033187388089724414, ""regularization"": 0.01}, {""inner_mean_mae"": 0.030686957114946883, ""regularization"": 0.1}, {""inner_mean_mae"": 0.023347590788291097, ""regularization"": 1.0}, {""inner_mean_mae"": 0.027489814815270533, ""regularization"": 10.0}, {""inner_mean_mae"": 0.03750748455673129, ""regularization"": 100.0}]",16,-0.49246958386104844,0.03293292962469824,0.7588235294117647,,,
llama,cumulative_kl_base_to_current,regression,Pk5+C5,40,10.0,"[{""inner_mean_mae"": 0.05384299134526469, ""regularization"": 0.0}, {""inner_mean_mae"": 0.05384083663848197, ""regularization"": 0.0001}, {""inner_mean_mae"": 0.05382147667748516, ""regularization"": 0.001}, {""inner_mean_mae"": 0.05363097306016435, ""regularization"": 0.01}, {""inner_mean_mae"": 0.051958721124261566, ""regularization"": 0.1}, {""inner_mean_mae"": 0.04314462037288111, ""regularization"": 1.0}, {""inner_mean_mae"": 0.03482845574965784, ""regularization"": 10.0}, {""inner_mean_mae"": 0.041186799189314734, ""regularization"": 100.0}]",16,0.8307895799560772,0.01768893050639558,0.8588235294117647,,,
llama,cumulative_kl_base_to_current,regression,Pk5+C5,160,10.0,"[{""inner_mean_mae"": 0.043611560337747844, ""regularization"": 0.0}, {""inner_mean_mae"": 0.04358640278568413, ""regularization"": 0.0001}, {""inner_mean_mae"": 0.04336287460520747, ""regularization"": 0.001}, {""inner_mean_mae"": 0.04138032893762502, ""regularization"": 0.01}, {""inner_mean_mae"": 0.03249642197113176, ""regularization"": 0.1}, {""inner_mean_mae"": 0.023862829104100623, ""regularization"": 1.0}, {""inner_mean_mae"": 0.020147625435512278, ""regularization"": 10.0}, {""inner_mean_mae"": 0.023986642905633227, ""regularization"": 100.0}]",16,0.4011571092871644,0.0481910500620078,0.6411764705882352,,,
llama,cumulative_kl_base_to_current,regression,Pk5+A+C5,5,0.0001,"[{""inner_mean_mae"": 0.03534800242479073, ""regularization"": 0.0}, {""inner_mean_mae"": 0.030808092969585133, ""regularization"": 0.0001}, {""inner_mean_mae"": 0.03175817247708961, ""regularization"": 0.001}, {""inner_mean_mae"": 0.03438953895274793, ""regularization"": 0.01}, {""inner_mean_mae"": 0.033227136862160715, ""regularization"": 0.1}, {""inner_mean_mae"": 0.03612799056176801, ""regularization"": 1.0}, {""inner_mean_mae"": 0.035379742335337507, ""regularization"": 10.0}, {""inner_mean_mae"": 0.038284333837907934, ""regularization"": 100.0}]",16,-3698.872519574894,0.060894916683133654,0.6823529411764706,,,
llama,cumulative_kl_base_to_current,regression,Pk5+A+C5,20,10.0,"[{""inner_mean_mae"": 0.04517541200990673, ""regularization"": 0.0}, {""inner_mean_mae"": 0.03704862416654169, ""regularization"": 0.0001}, {""inner_mean_mae"": 0.03581492535267681, ""regularization"": 0.001}, {""inner_mean_mae"": 0.034168939752964506, ""regularization"": 0.01}, {""inner_mean_mae"": 0.03091984896544162, ""regularization"": 0.1}, {""inner_mean_mae"": 0.02710135390324983, ""regularization"": 1.0}, {""inner_mean_mae"": 0.02677996807381161, ""regularization"": 10.0}, {""inner_mean_mae"": 0.035433221560278526, ""regularization"": 100.0}]",16,-0.8910129887458149,0.03415323470386897,0.8558823529411764,,,
llama,cumulative_kl_base_to_current,regression,Pk5+A+C5,40,10.0,"[{""inner_mean_mae"": 0.05697497929257581, ""regularization"": 0.0}, {""inner_mean_mae"": 0.055916729246691964, ""regularization"": 0.0001}, {""inner_mean_mae"": 0.05646693345535319, ""regularization"": 0.001}, {""inner_mean_mae"": 0.05667034877384025, ""regularization"": 0.01}, {""inner_mean_mae"": 0.05472302581268501, ""regularization"": 0.1}, {""inner_mean_mae"": 0.04523966905259058, ""regularization"": 1.0}, {""inner_mean_mae"": 0.03592621287558493, ""regularization"": 10.0}, {""inner_mean_mae"": 0.03860703483109503, ""regularization"": 100.0}]",16,0.8536172713978999,0.01549221555420881,0.8647058823529412,,,
llama,cumulative_kl_base_to_current,regression,Pk5+A+C5,160,10.0,"[{""inner_mean_mae"": 0.04052102807120429, ""regularization"": 0.0}, {""inner_mean_mae"": 0.03269437937045799, ""regularization"": 0.0001}, {""inner_mean_mae"": 0.0349596698108454, ""regularization"": 0.001}, {""inner_mean_mae"": 0.037564616864188945, ""regularization"": 0.01}, {""inner_mean_mae"": 0.030834579760257153, ""regularization"": 0.1}, {""inner_mean_mae"": 0.02340145026841206, ""regularization"": 1.0}, {""inner_mean_mae"": 0.02175866643071649, ""regularization"": 10.0}, {""inner_mean_mae"": 0.02287743421661778, ""regularization"": 100.0}]",16,0.44003798817264284,0.047914182972251584,0.5882352941176471,,,
llama,absolute_delta_nll_cumulative,regression,A,5,0.0001,"[{""inner_mean_mae"": 0.10185322376945134, ""regularization"": 0.0}, {""inner_mean_mae"": 0.06538975201203552, ""regularization"": 0.0001}, {""inner_mean_mae"": 0.06854450595721381, ""regularization"": 0.001}, {""inner_mean_mae"": 0.07471544449793856, ""regularization"": 0.01}, {""inner_mean_mae"": 0.07617685526459099, ""regularization"": 0.1}, {""inner_mean_mae"": 0.0805230262279158, ""regularization"": 1.0}, {""inner_mean_mae"": 0.08504907239595468, ""regularization"": 10.0}, {""inner_mean_mae"": 0.09205848962861667, ""regularization"": 100.0}]",16,-134.78282138042445,0.11473091589384704,0.6617647058823529,,,
llama,absolute_delta_nll_cumulative,regression,A,20,0.0001,"[{""inner_mean_mae"": 0.18086170273002602, ""regularization"": 0.0}, {""inner_mean_mae"": 0.09896480677619886, ""regularization"": 0.0001}, {""inner_mean_mae"": 0.09990825118141554, ""regularization"": 0.001}, {""inner_mean_mae"": 0.1021121967897944, ""regularization"": 0.01}, {""inner_mean_mae"": 0.10062668636604007, ""regularization"": 0.1}, {""inner_mean_mae"": 0.11193804811955226, ""regularization"": 1.0}, {""inner_mean_mae"": 0.12008209769746085, ""regularization"": 10.0}, {""inner_mean_mae"": 0.12736730455449213, ""regularization"": 100.0}]",16,0.41869242576102916,0.045874319668748276,0.788235294117647,,,
