r2_oof,mae_oof,spearman_oof,model,target,task_type,feature_block,features,n_common,n_checkpoint_groups,delta_r2_vs_A,mae_reduction_vs_A,delta_spearman_vs_A,delta_r2_vs_C5,mae_reduction_vs_C5,delta_spearman_vs_C5,delta_r2_vs_Pk5,mae_reduction_vs_Pk5,delta_spearman_vs_Pk5,auc_oof,log_loss_oof,balanced_accuracy_oof,delta_auc_vs_A,log_loss_reduction_vs_A,delta_balanced_accuracy_vs_A,delta_auc_vs_C5,log_loss_reduction_vs_C5,delta_balanced_accuracy_vs_C5,delta_auc_vs_Pk5,log_loss_reduction_vs_Pk5,delta_balanced_accuracy_vs_Pk5,equal7_feature_block,r2_oof_equal7,mae_oof_equal7,spearman_oof_equal7,auc_oof_equal7,log_loss_oof_equal7,balanced_accuracy_oof_equal7,delta_r2_oof_vs_equal7,delta_mae_oof_vs_equal7,delta_spearman_oof_vs_equal7,delta_auc_oof_vs_equal7,delta_log_loss_oof_vs_equal7,delta_balanced_accuracy_oof_vs_equal7
0.5067117649150408,0.0623407467075495,0.915018315018315,llama,absolute_delta_nll_cumulative,regression,Pk5+A,"p_k4_equal5,p_k8_equal5,p_k16_equal5,p_k32_equal5,normalized_entropy_effective_rank,participation_ratio,top1_explained_share,top8_explained_share,top32_explained_share,raw_anisotropy,centered_anisotropy,linear_cka_vs_step0",64,4,0.3253014398918178,0.016352412735027043,0.4981684981684982,-0.231765364386452,-0.010082252171831445,0.24862637362637363,0.07046432561880622,0.005509277387996912,0.09501693465964056,,,,,,,,,,,,,Pk+A,0.5911090525403864,0.0574115438843982,0.7985805860805859,,,,-0.0843972876253456,0.004929202823151298,0.11643772893772908,,,
0.7275701995965691,0.047568196971304905,0.8915750915750914,llama,absolute_delta_nll_cumulative,regression,Pk5+C5,"p_k4_equal5,p_k8_equal5,p_k16_equal5,p_k32_equal5,c_equal5",64,4,0.5461598745733461,0.03112496247127164,0.4747252747252746,-0.010906929704923685,0.004690297564413151,0.22518315018315005,0.29132276030033455,0.020281827124241508,0.07157371121641698,,,,,,,,,,,,,Pk+C,0.6864261522710386,0.0542021157119139,0.8419413919413918,,,,0.04114404732553045,-0.006633918740608993,0.04963369963369957,,,
0.705520835193516,0.05158694813938196,0.9277472527472526,llama,absolute_delta_nll_cumulative,regression,Pk5+A+C5,"p_k4_equal5,p_k8_equal5,p_k16_equal5,p_k32_equal5,normalized_entropy_effective_rank,participation_ratio,top1_explained_share,top8_explained_share,top32_explained_share,raw_anisotropy,centered_anisotropy,linear_cka_vs_step0,c_equal5",64,4,0.5241105101702931,0.027106211303194586,0.5108974358974357,-0.032956294107976736,0.0006715463963360979,0.2613553113553112,0.2692733958972815,0.016263075956164455,0.10774587238857813,,,,,,,,,,,,,Pk+A+C,0.6186810512291717,0.0547486514426,0.8415293040293039,,,,0.08683978396434433,-0.0031617033032180428,0.08621794871794863,,,
0.0216730456579165,0.040133019119255806,0.36607142857142855,llama,delta_nll_cumulative,regression,A,"normalized_entropy_effective_rank,participation_ratio,top1_explained_share,top8_explained_share,top32_explained_share,raw_anisotropy,centered_anisotropy,linear_cka_vs_step0",64,4,0.0,0.0,0.0,-0.5190010469493344,-0.009258208103519957,-0.08933150183150179,0.38522286981643605,0.008256284665274685,-0.07980088162583676,,,,,,,,,,,,,A,0.0216730456579165,0.0401330191192558,0.3660714285714285,,,,0.0,6.938893903907228e-18,5.551115123125783e-17,,,
0.5406740926072509,0.03087481101573585,0.45540293040293034,llama,delta_nll_cumulative,regression,C5,c_equal5,64,4,0.5190010469493344,0.009258208103519957,0.08933150183150179,0.0,0.0,0.0,0.9042239167657704,0.017514492768794642,0.00953062020566503,,,,,,,,,,,,,C,0.3499017149021035,0.0329944698129949,0.3914377289377289,,,,0.19077237770514738,-0.0021196587972590504,0.06396520146520146,,,
-0.36354982415851955,0.04838930378453049,0.4458723101972653,llama,delta_nll_cumulative,regression,Pk5,"p_k4_equal5,p_k8_equal5,p_k16_equal5,p_k32_equal5",64,4,-0.38522286981643605,-0.008256284665274685,0.07980088162583676,-0.9042239167657704,-0.017514492768794642,-0.00953062020566503,0.0,0.0,0.0,,,,,,,,,,,,,Pk,0.4187371069562832,0.0287437453207887,0.4961476241865866,,,,-0.7822869311148027,0.019645558463741792,-0.05027531398932128,,,
0.3730747976290685,0.034014293963299844,0.5221153846153845,llama,delta_nll_cumulative,regression,A+C5,"normalized_entropy_effective_rank,participation_ratio,top1_explained_share,top8_explained_share,top32_explained_share,raw_anisotropy,centered_anisotropy,linear_cka_vs_step0,c_equal5",64,4,0.351401751971152,0.006118725155955962,0.156043956043956,-0.16759929497818238,-0.003139482947563995,0.0667124542124542,0.736624621787588,0.014375009821230647,0.07624307441811923,,,,,,,,,,,,,A+C,0.1729883127019507,0.0388187697913974,0.4558150183150182,,,,0.20008648492711778,-0.004804475828097558,0.06630036630036634,,,
-0.2839512796992063,0.04781771344061095,0.4869505494505494,llama,delta_nll_cumulative,regression,Pk5+A,"p_k4_equal5,p_k8_equal5,p_k16_equal5,p_k32_equal5,normalized_entropy_effective_rank,participation_ratio,top1_explained_share,top8_explained_share,top32_explained_share,raw_anisotropy,centered_anisotropy,linear_cka_vs_step0",64,4,-0.3056243253571228,-0.007684694321355143,0.12087912087912084,-0.8246253723064572,-0.0169429024248751,0.03154761904761905,0.07959854445931325,0.0005715903439195424,0.04107823925328408,,,,,,,,,,,,,Pk+A,0.517837299176169,0.0287889648253674,0.4071428571428571,,,,-0.8017885788753754,0.01902874861524355,0.0798076923076923,,,
-0.007656761270093737,0.043574311262759,0.4510073260073259,llama,delta_nll_cumulative,regression,Pk5+C5,"p_k4_equal5,p_k8_equal5,p_k16_equal5,p_k32_equal5,c_equal5",64,4,-0.029329806928010238,-0.003441292143503194,0.08493589743589736,-0.5483308538773446,-0.012699500247023151,-0.0043956043956044355,0.3558930628884258,0.004814992521771491,0.005135015810060595,,,,,,,,,,,,,Pk+C,0.3171238127229496,0.0353635159678837,0.4692307692307691,,,,-0.32478057399304333,0.008210795294875298,-0.018223443223443214,,,
0.15368676107512147,0.04175125665281012,0.4781135531135531,llama,delta_nll_cumulative,regression,Pk5+A+C5,"p_k4_equal5,p_k8_equal5,p_k16_equal5,p_k32_equal5,normalized_entropy_effective_rank,participation_ratio,top1_explained_share,top8_explained_share,top32_explained_share,raw_anisotropy,centered_anisotropy,linear_cka_vs_step0,c_equal5",64,4,0.13201371541720497,-0.0016182375335543134,0.11204212454212453,-0.3869873315321294,-0.01087644563707427,0.02271062271062274,0.517236585233641,0.006638047131720372,0.03224124291628777,,,,,,,,,,,,,Pk+A+C,0.3003389802268591,0.0364973747709719,0.543543956043956,,,,-0.14665221915173765,0.0052538818818382155,-0.06543040293040292,,,
