arm,centered_anisotropy,layer,linear_cka_vs_step0,n_samples,native_object,normalized_entropy_effective_rank,participation_ratio,probe,raw_anisotropy,step,top1_explained_share,top32_explained_share,top8_explained_share
opd,-0.00454170536249876,21,0.9976599216461182,128,raw residual-stream sample means and centered covariance,1.9334372157146795,1.1462203823019383,E_ood,0.7942787408828735,40,0.934021750175031,0.9576756243160766,0.9467360113480044
opd,0.014407199807465076,7,0.9999755024909973,541,raw residual-stream sample means and centered covariance,1.0244735941281597,1.003532032417336,E_if,0.9853167533874512,40,0.9982386371731207,0.9988318196191682,0.9985440186867133
opd,0.012392228469252586,14,0.9999654293060303,541,raw residual-stream sample means and centered covariance,1.0580562053584948,1.0089492327396319,E_if,0.9650676846504211,40,0.9955551228434831,0.9971122614496657,0.9963348529742582
opd,0.006460139527916908,21,0.9992916584014893,541,raw residual-stream sample means and centered covariance,1.2286827326814407,1.0378142559022991,E_if,0.9342617988586426,40,0.9816112443247595,0.9885341773204819,0.9852504922640152
opd,0.0024970422964543104,7,0.9999783039093018,128,raw residual-stream sample means and centered covariance,1.090958418474179,1.0137599756549263,E_general,0.8790085911750793,40,0.9931901223936563,0.9949354288821993,0.9939774160235599
opd,-0.002480818424373865,14,0.9999585151672363,128,raw residual-stream sample means and centered covariance,1.2173821610417848,1.0344950934615802,E_general,0.804871141910553,40,0.9831855726796699,0.988089057884078,0.9853689657992734
opd,-0.006758813746273518,21,0.9996619820594788,128,raw residual-stream sample means and centered covariance,2.086291206088217,1.1637916627908422,E_general,0.7581006288528442,40,0.9269444915621181,0.9508927654449415,0.9390213406336062
opd,0.5506542325019836,7,0.189753457903862,32,raw residual-stream sample means and centered covariance,1.5408242186303125,1.101082223846337,S_math,0.5119139552116394,160,0.9529628694114307,0.9780437644730176,0.967355838972508
opd,0.35532641410827637,14,0.15708647668361664,32,raw residual-stream sample means and centered covariance,2.5598554065608394,1.2727323314455679,S_math,0.5079842805862427,160,0.8861732175823809,0.9463166773328848,0.9219436194017798
opd,0.1646891087293625,21,0.18863804638385773,32,raw residual-stream sample means and centered covariance,8.688500183388916,2.0250712886917155,S_math,0.6692476272583008,160,0.7014006827215594,0.8572392528107404,0.7876234733138338
