model,family,arm,checkpoint,step,layer,module,source_rank_k,mask_density_alpha,principal_top_count,update_count,total_entries,update_density,overlap_count,coverage,overlap_lift,random_null_type,random_null_rank,random_null_seeds,random_null_overlap_lift_mean,random_null_overlap_lift_std,overlap_lift_minus_random_null,delta_construction,native_source,checkpoint_materialization,base_tensor_sha256,checkpoint_tensor_sha256
llama,llama3_2_3b,opd,80,80,14,self_attn.q_proj,32,0.01,94372,5053093,9437184,0.5354450013902452,16898,0.0033440904412406,0.3344084771609071,rank32_norm_matched_lowrank_bf16_mask,32,3,0.3616776258513305,0.0034325585583123,-0.0272691486904233,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,68a7c5a1e7f0af5e261ec481d3c4785841d00fd15e7cc2caf5ea0f41abaf11bc,595f8a771d86e1c193ef0bad4c5088372fb5ad59d7650b3f959061d4aaf32ff2
llama,llama3_2_3b,opd,80,80,14,self_attn.q_proj,32,0.1,943718,5053093,9437184,0.5354450013902452,337118,0.0667151782086733,0.6671520648626402,rank32_norm_matched_lowrank_bf16_mask,32,3,0.6940734138405241,0.0011834974691749,-0.0269213489778838,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,68a7c5a1e7f0af5e261ec481d3c4785841d00fd15e7cc2caf5ea0f41abaf11bc,595f8a771d86e1c193ef0bad4c5088372fb5ad59d7650b3f959061d4aaf32ff2
llama,llama3_2_3b,opd,80,80,14,self_attn.q_proj,50,0.01,94372,5053093,9437184,0.5354450013902452,12944,0.0025615994006047,0.2561595057622666,rank32_norm_matched_lowrank_bf16_mask,32,3,0.2727406374202977,0.003079151494369,-0.016581131658031,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,68a7c5a1e7f0af5e261ec481d3c4785841d00fd15e7cc2caf5ea0f41abaf11bc,595f8a771d86e1c193ef0bad4c5088372fb5ad59d7650b3f959061d4aaf32ff2
llama,llama3_2_3b,opd,80,80,14,self_attn.q_proj,50,0.1,943718,5053093,9437184,0.5354450013902452,315124,0.0623625965324604,0.6236262296518567,rank32_norm_matched_lowrank_bf16_mask,32,3,0.6508554963000801,0.0008947502768504,-0.0272292666482234,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,68a7c5a1e7f0af5e261ec481d3c4785841d00fd15e7cc2caf5ea0f41abaf11bc,595f8a771d86e1c193ef0bad4c5088372fb5ad59d7650b3f959061d4aaf32ff2
llama,llama3_2_3b,opd,160,160,14,self_attn.q_proj,16,0.01,94372,5788353,9437184,0.6133559544881185,26935,0.0046533098447865,0.4653301955480704,rank32_norm_matched_lowrank_bf16_mask,32,3,0.5368071042432971,0.0037225830257156,-0.0714769086952267,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,68a7c5a1e7f0af5e261ec481d3c4785841d00fd15e7cc2caf5ea0f41abaf11bc,33e69b9afcd89c0997bb758339b4b8b7b01f905c099215d52ac3c541e2413eca
llama,llama3_2_3b,opd,160,160,14,self_attn.q_proj,16,0.1,943718,5788353,9437184,0.6133559544881185,435842,0.0752963753247253,0.75296407239503,rank32_norm_matched_lowrank_bf16_mask,32,3,0.7911444855641871,0.0016189901842703,-0.0381804131691571,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,68a7c5a1e7f0af5e261ec481d3c4785841d00fd15e7cc2caf5ea0f41abaf11bc,33e69b9afcd89c0997bb758339b4b8b7b01f905c099215d52ac3c541e2413eca
llama,llama3_2_3b,opd,160,160,14,self_attn.q_proj,32,0.01,94372,5788353,9437184,0.6133559544881185,22337,0.0038589560795618,0.3858949537017727,rank32_norm_matched_lowrank_bf16_mask,32,3,0.4346170290932602,0.0032466759556319,-0.0487220753914874,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,68a7c5a1e7f0af5e261ec481d3c4785841d00fd15e7cc2caf5ea0f41abaf11bc,33e69b9afcd89c0997bb758339b4b8b7b01f905c099215d52ac3c541e2413eca
llama,llama3_2_3b,opd,160,160,14,self_attn.q_proj,32,0.1,943718,5788353,9437184,0.6133559544881185,411197,0.0710386875161207,0.7103871762625428,rank32_norm_matched_lowrank_bf16_mask,32,3,0.7460515610856975,0.0018570966813587,-0.0356643848231547,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,68a7c5a1e7f0af5e261ec481d3c4785841d00fd15e7cc2caf5ea0f41abaf11bc,33e69b9afcd89c0997bb758339b4b8b7b01f905c099215d52ac3c541e2413eca
llama,llama3_2_3b,opd,160,160,14,self_attn.q_proj,50,0.01,94372,5788353,9437184,0.6133559544881185,18052,0.0031186764179724,0.3118671130511887,rank32_norm_matched_lowrank_bf16_mask,32,3,0.3468934192783147,0.0017734300308206,-0.0350263062271259,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,68a7c5a1e7f0af5e261ec481d3c4785841d00fd15e7cc2caf5ea0f41abaf11bc,33e69b9afcd89c0997bb758339b4b8b7b01f905c099215d52ac3c541e2413eca
llama,llama3_2_3b,opd,160,160,14,self_attn.q_proj,50,0.1,943718,5788353,9437184,0.6133559544881185,390204,0.0674119218368333,0.6741195040974259,rank32_norm_matched_lowrank_bf16_mask,32,3,0.7093556678825532,0.0015150887860274,-0.0352361637851272,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,68a7c5a1e7f0af5e261ec481d3c4785841d00fd15e7cc2caf5ea0f41abaf11bc,33e69b9afcd89c0997bb758339b4b8b7b01f905c099215d52ac3c541e2413eca
