model,family,arm,checkpoint,step,layer,module,source_rank_k,mask_density_alpha,real_overlap_lift,null_overlap_lift_mean,null_overlap_lift_std,null_update_count_mean,delta_singular_values_used,z_tpnt,spectrum_null_seeds
llama,llama3_2_3b,offkd,320,320,14,self_attn.q_proj,32,0.01,0.4541803925961034,0.4858336118596666,0.0059162286137879,6626549.0,3072,-5.350235991522414,10
llama,llama3_2_3b,offkd,320,320,14,self_attn.q_proj,32,0.1,0.7652401059626152,0.7793665932561561,0.0020734918289003,6626549.0,3072,-6.8128974981457295,10
llama,llama3_2_3b,offkd,320,320,14,self_attn.q_proj,50,0.01,0.3674034806518044,0.4028205342145249,0.0056351127882522,6626549.0,3072,-6.285065604464216,10
llama,llama3_2_3b,offkd,320,320,14,self_attn.q_proj,50,0.1,0.7305338525348862,0.7462056322374927,0.0023775162717351,6626549.0,3072,-6.5916603343240725,10
llama,llama3_2_3b,offkd,320,320,14,self_attn.v_proj,16,0.01,0.8056666256777641,0.8298931614001523,0.0087256631460531,2497212.4,1024,-2.77646928570082,10
llama,llama3_2_3b,offkd,320,320,14,self_attn.v_proj,16,0.1,0.9389247781479984,0.9491554907626158,0.0025751688701763,2497212.4,1024,-3.972831736629695,10
llama,llama3_2_3b,offkd,320,320,14,self_attn.v_proj,32,0.01,0.7463520206470565,0.7702982371886057,0.0084809994353387,2497212.4,1024,-2.823513516787863,10
llama,llama3_2_3b,offkd,320,320,14,self_attn.v_proj,32,0.1,0.9237810244284624,0.9326887470619764,0.0027988284474564,2497212.4,1024,-3.1826611743956974,10
llama,llama3_2_3b,offkd,320,320,14,self_attn.v_proj,50,0.01,0.7012536445810547,0.7260800180512229,0.0078288971539641,2497212.4,1024,-3.1711201439908456,10
llama,llama3_2_3b,offkd,320,320,14,self_attn.v_proj,50,0.1,0.9045692191263516,0.9155563174315502,0.0027160857068397,2497212.4,1024,-4.045195730580342,10
llama,llama3_2_3b,opd,20,20,14,mlp.down_proj,16,0.01,0.7783895554929173,0.7603986746104574,0.0097678320780329,9228630.3,3072,1.841849935454973,10
llama,llama3_2_3b,opd,20,20,14,mlp.down_proj,16,0.1,0.9585486228763296,0.9464412351265874,0.0029414527145813,9228630.3,3072,4.116125236256012,10
llama,llama3_2_3b,opd,20,20,14,mlp.down_proj,32,0.01,0.7031586614188607,0.6813906079917296,0.0081490323868361,9228630.3,3072,2.6712439457591444,10
llama,llama3_2_3b,opd,20,20,14,mlp.down_proj,32,0.1,0.9264772071091824,0.919035707878336,0.0031659996091367,9228630.3,3072,2.35044224559316,10
llama,llama3_2_3b,opd,20,20,14,mlp.down_proj,50,0.01,0.6458005961890607,0.6300555717424847,0.0074360677341296,9228630.3,3072,2.117385829382687,10
llama,llama3_2_3b,opd,20,20,14,mlp.down_proj,50,0.1,0.8962295042028045,0.8908536946584084,0.0028527273825343,9228630.3,3072,1.8844455931222643,10
llama,llama3_2_3b,opd,20,20,14,mlp.gate_proj,16,0.01,0.5415945625461869,0.5688030338851402,0.01145912986623,11238152.2,3072,-2.3743924413612265,10
llama,llama3_2_3b,opd,20,20,14,mlp.gate_proj,16,0.1,0.8617927938900076,0.8834135889448606,0.0039878067183105,11238152.2,3072,-5.421725921564429,10
llama,llama3_2_3b,opd,20,20,14,mlp.gate_proj,32,0.01,0.4706867382442795,0.4955617011628198,0.0098666412345125,11238152.2,3072,-2.5211176049991817,10
llama,llama3_2_3b,opd,20,20,14,mlp.gate_proj,32,0.1,0.8264444572152081,0.84766839210239,0.00352344234732,11238152.2,3072,-6.023636204328612,10
llama,llama3_2_3b,opd,20,20,14,mlp.gate_proj,50,0.01,0.4161842529923322,0.4404330701688371,0.0092825703226687,11238152.2,3072,-2.61229555323567,10
llama,llama3_2_3b,opd,20,20,14,mlp.gate_proj,50,0.1,0.7976209454340992,0.8184006686791705,0.0031048259547659,11238152.2,3072,-6.692717578315157,10
