model,arm,checkpoint,source_rank_k,mask_density_alpha,mean_overlap_lift,mean_coverage
llama,sft,320,32,0.05,0.8990311997388941,0.04495152131894393
llama,sft,320,32,0.1,0.93209653290983,0.09320965175390457
llama,sft,320,32,0.2,0.9586017894488504,0.19172040077367164
llama,sft,320,50,0.01,0.7596746139861822,0.007596729854125657
llama,sft,320,50,0.05,0.8756550785089786,0.043782716764003485
llama,sft,320,50,0.1,0.9157742161375284,0.09157741990351387
llama,sft,320,50,0.2,0.9481702716178756,0.1896340964848203
qwen,offkd,20,16,0.01,0.6088742174059865,0.006088730636501671
qwen,offkd,20,16,0.05,0.8053797539689461,0.04026898769844726
qwen,offkd,20,16,0.1,0.8721284560459284,0.08721284560459278
qwen,offkd,20,16,0.2,0.9248463554940641,0.1849692710988128
qwen,offkd,20,32,0.01,0.5060815731997093,0.005060808534597857
qwen,offkd,20,32,0.05,0.726380058045107,0.0363190029022553
qwen,offkd,20,32,0.1,0.8103647412545424,0.0810364741254542
qwen,offkd,20,32,0.2,0.8817460239525624,0.17634920479051244
qwen,offkd,20,50,0.01,0.43913349830093223,0.004391329921526929
qwen,offkd,20,50,0.05,0.6627601615922533,0.0331380080796126
qwen,offkd,20,50,0.1,0.7567156262393572,0.07567156262393568
qwen,offkd,20,50,0.2,0.8420848692536985,0.16841697385073967
qwen,offkd,160,16,0.01,0.7307988831581724,0.007307973310671814
qwen,offkd,160,16,0.05,0.8741354556949925,0.04370677278474957
qwen,offkd,160,16,0.1,0.9195480062961335,0.09195480062961332
qwen,offkd,160,16,0.2,0.9538889248085578,0.19077778496171155
qwen,offkd,160,32,0.01,0.6626781942104731,0.006626769730204457
qwen,offkd,160,32,0.05,0.8281701549639283,0.041408507748196384
qwen,offkd,160,32,0.1,0.8842164485927871,0.08842164485927864
qwen,offkd,160,32,0.2,0.9298917268855126,0.18597834537710248
qwen,offkd,160,50,0.01,0.6155951777711677,0.0061559413553726
qwen,offkd,160,50,0.05,0.7881799466706203,0.03940899733353094
qwen,offkd,160,50,0.1,0.8522444336482542,0.08522444336482538
qwen,offkd,160,50,0.2,0.9071353696478057,0.18142707392956112
qwen,offkd,320,16,0.01,0.7789652873318363,0.0077896352989198425
qwen,offkd,320,16,0.05,0.8987538906203316,0.04493769453101653
qwen,offkd,320,16,0.1,0.9355948801169838,0.09355948801169832
qwen,offkd,320,16,0.2,0.9634027479743192,0.1926805495948638
qwen,offkd,320,32,0.01,0.7228199368681194,0.007228184646664915
qwen,offkd,320,32,0.05,0.8627275381274553,0.04313637690637273
qwen,offkd,320,32,0.1,0.9085332821260901,0.09085332821260896
qwen,offkd,320,32,0.2,0.944991827781493,0.18899836555629856
qwen,offkd,320,50,0.01,0.6844445878183958,0.0068444327472551286
qwen,offkd,320,50,0.05,0.831633870798494,0.041581693539924656
qwen,offkd,320,50,0.1,0.8842101101966867,0.08842101101966862
qwen,offkd,320,50,0.2,0.9280043090058375,0.18560086180116747
qwen,opd,20,16,0.01,0.5930300280410813,0.005930289428607957
qwen,opd,20,16,0.05,0.7928710272877124,0.03964355136438557
qwen,opd,20,16,0.1,0.8618525389634344,0.08618525389634338
qwen,opd,20,16,0.2,0.9172890038279962,0.18345780076559917
qwen,opd,20,32,0.01,0.4936842981405368,0.004936836136453686
qwen,opd,20,32,0.05,0.71543011963145,0.03577150598157246
qwen,opd,20,32,0.1,0.8008785653912552,0.08008785653912547
qwen,opd,20,32,0.2,0.8743576384481379,0.17487152768962752
qwen,opd,20,50,0.01,0.4316530614485635,0.004316525487661543
qwen,opd,20,50,0.05,0.6542101991100636,0.03271050995550314
qwen,opd,20,50,0.1,0.7488411283633901,0.07488411283633897
qwen,opd,20,50,0.2,0.8359637178978806,0.16719274357957606
qwen,opd,160,16,0.01,0.7169763599855178,0.007169748303185443
qwen,opd,160,16,0.05,0.8672575414748415,0.04336287707374203
qwen,opd,160,16,0.1,0.9144701127008589,0.09144701127008584
qwen,opd,160,16,0.2,0.9509254406656276,0.19018508813312546
qwen,opd,160,32,0.01,0.6429966308985879,0.006429954296073399
qwen,opd,160,32,0.05,0.8145720878187247,0.040728604390936174
qwen,opd,160,32,0.1,0.8744213440830348,0.08744213440830342
qwen,opd,160,32,0.2,0.9231937884873996,0.1846387576974799
qwen,opd,160,50,0.01,0.5918640235340696,0.005918629912925201
qwen,opd,160,50,0.05,0.7712269744423249,0.0385613487221162
qwen,opd,160,50,0.1,0.8392877391928009,0.08392877391928004
qwen,opd,160,50,0.2,0.8982528730155268,0.17965057460310532
qwen,opd,320,16,0.01,0.7751739845068946,0.007751721786356471
qwen,opd,320,16,0.05,0.8989271593526508,0.0449463579676325
qwen,opd,320,16,0.1,0.9361996467090881,0.09361996467090875
qwen,opd,320,16,0.2,0.964159197724384,0.19283183954487676
qwen,opd,320,32,0.01,0.7137214542896724,0.0071371993262870715
qwen,opd,320,32,0.05,0.8565744229922457,0.042828721149612226
qwen,opd,320,32,0.1,0.9043026303601541,0.09043026303601538
qwen,opd,320,32,0.2,0.9422008100569075,0.18844016201138145
qwen,opd,320,50,0.01,0.6688877487229429,0.006688863924036543
qwen,opd,320,50,0.05,0.8217230167387878,0.04108615083693935
