model,layer,arm,checkpoint,source_rank_k,mask_density_alpha,mean_overlap_lift,mean_pabs_joint_cos,mean_nss_l1_top32,headline_mean_overlap_lift,headline_mean_pabs_joint_cos,headline_mean_nss_l1_top32,overlap_lift_minus_headline,pabs_cos_minus_headline,nss_l1_minus_headline,overlap_rank_desc
llama,7,opd,160,50,0.1,0.8415374592737015,0.9997615866807037,6.0948744930962015e-05,0.8487964300429891,0.9997736966015373,6.620528949362424e-05,-0.007258970769287609,-1.210992083355844e-05,-5.256544562662228e-06,2.0
llama,7,seqkd,160,50,0.1,0.8375831630676023,0.9997640960815717,5.7764193458677475e-05,0.8439918977435321,0.9997870976611573,6.103130726453334e-05,-0.006408734675929839,-2.30015795855687e-05,-3.267113805855867e-06,4.0
llama,7,sft,160,50,0.1,0.8722630663361262,0.9997510650558324,6.750366022792343e-05,0.8884624086395453,0.9997539250646216,9.390297575982995e-05,-0.01619934230341913,-2.860008789129509e-06,-2.6399315531906514e-05,1.0
llama,7,offkd,320,16,0.01,0.7748175223755596,0.9997541784146681,6.239380703163138e-05,0.785135437099447,0.9997810136773003,7.430013142775096e-05,-0.010317914723887434,-2.683526263225211e-05,-1.1906324396119576e-05,3.0
llama,7,opd,320,16,0.01,0.7925735348034787,0.9997410390893462,6.607793050798732e-05,0.7886817572142073,0.9997637035480401,8.593153689592885e-05,0.0038917775892713946,-2.2664458693921752e-05,-1.985360638794153e-05,2.0
llama,7,seqkd,320,16,0.01,0.7697975127961303,0.9997572242885836,6.060941707646033e-05,0.7869951440314947,0.9997690319328513,8.076190328442827e-05,-0.01719763123536444,-1.180764426766956e-05,-2.0152486207967943e-05,4.0
llama,7,sft,320,16,0.01,0.8343239091877654,0.9997226593704382,0.00010040012184053674,0.8523097496895312,0.9997150704209223,0.000130459421300499,-0.01798584050176577,7.588949515913157e-06,-3.0059299459962258e-05,1.0
llama,7,offkd,320,16,0.1,0.9255973366499649,0.9997541784146681,6.239380703163138e-05,0.9261473311559463,0.9997810136773003,7.430013142775096e-05,-0.000549994505981366,-2.683526263225211e-05,-1.1906324396119576e-05,3.0
llama,7,opd,320,16,0.1,0.9327636587444125,0.9997410390893462,6.607793050798732e-05,0.9295240948878034,0.9997637035480401,8.593153689592885e-05,0.0032395638566090623,-2.2664458693921752e-05,-1.985360638794153e-05,2.0
llama,7,seqkd,320,16,0.1,0.9246400917292094,0.9997572242885836,6.060941707646033e-05,0.9271501285313164,0.9997690319328513,8.076190328442827e-05,-0.0025100368021070407,-1.180764426766956e-05,-2.0152486207967943e-05,4.0
llama,7,sft,320,16,0.1,0.948309005499892,0.9997226593704382,0.00010040012184053674,0.9513273050825336,0.9997150704209223,0.000130459421300499,-0.003018299582641548,7.588949515913157e-06,-3.0059299459962258e-05,1.0
llama,7,offkd,320,32,0.01,0.7238692119019273,0.9997541784146681,6.239380703163138e-05,0.7205039293200552,0.9997810136773003,7.430013142775096e-05,0.0033652825818720755,-2.683526263225211e-05,-1.1906324396119576e-05,3.0
llama,7,opd,320,32,0.01,0.7378297699298179,0.9997410390893462,6.607793050798732e-05,0.7255876159124799,0.9997637035480401,8.593153689592885e-05,0.01224215401733797,-2.2664458693921752e-05,-1.985360638794153e-05,2.0
llama,7,seqkd,320,32,0.01,0.7173583557016361,0.9997572242885836,6.060941707646033e-05,0.7202199849959159,0.9997690319328513,8.076190328442827e-05,-0.0028616292942797994,-1.180764426766956e-05,-2.0152486207967943e-05,4.0
llama,7,sft,320,32,0.01,0.795372314857436,0.9997226593704382,0.00010040012184053674,0.8011119789541302,0.9997150704209223,0.000130459421300499,-0.005739664096694241,7.588949515913157e-06,-3.0059299459962258e-05,1.0
llama,7,offkd,320,32,0.1,0.8935946340399861,0.9997541784146681,6.239380703163138e-05,0.8985910800667174,0.9997810136773003,7.430013142775096e-05,-0.004996446026731327,-2.683526263225211e-05,-1.1906324396119576e-05,3.0
llama,7,opd,320,32,0.1,0.8998763223095269,0.9997410390893462,6.607793050798732e-05,0.9035498028388252,0.9997637035480401,8.593153689592885e-05,-0.0036734805292983896,-2.2664458693921752e-05,-1.985360638794153e-05,2.0
llama,7,seqkd,320,32,0.1,0.892140478268311,0.9997572242885836,6.060941707646033e-05,0.8986804510043257,0.9997690319328513,8.076190328442827e-05,-0.006539972736014699,-1.180764426766956e-05,-2.0152486207967943e-05,4.0
llama,7,sft,320,32,0.1,0.924884194735873,0.9997226593704382,0.00010040012184053674,0.93209653290983,0.9997150704209223,0.000130459421300499,-0.007212338173956945,7.588949515913157e-06,-3.0059299459962258e-05,1.0
llama,7,offkd,320,50,0.01,0.6795658182978481,0.9997541784146681,6.239380703163138e-05,0.664838705559552,0.9997810136773003,7.430013142775096e-05,0.014727112738296078,-2.683526263225211e-05,-1.1906324396119576e-05,3.0
llama,7,opd,320,50,0.01,0.6925421241512454,0.9997410390893462,6.607793050798732e-05,0.6749802426952065,0.9997637035480401,8.593153689592885e-05,0.017561881456038875,-2.2664458693921752e-05,-1.985360638794153e-05,2.0
