model,layer,arm,checkpoint,source_rank_k,mask_density_alpha,mean_overlap_lift,mean_pabs_joint_cos,mean_nss_l1_top32,headline_mean_overlap_lift,headline_mean_pabs_joint_cos,headline_mean_nss_l1_top32,overlap_lift_minus_headline,pabs_cos_minus_headline,nss_l1_minus_headline,overlap_rank_desc
llama,14,seqkd,160,32,0.1,0.8750477962069502,0.9997870976611573,6.103130726453334e-05,0.8750477962069502,0.9997870976611573,6.103130726453334e-05,0.0,0.0,0.0,4.0
llama,14,sft,160,32,0.1,0.909987382923907,0.9997539250646216,9.390297575982995e-05,0.909987382923907,0.9997539250646216,9.390297575982995e-05,0.0,0.0,0.0,1.0
llama,14,offkd,160,50,0.01,0.6059438001080772,0.9997849858274117,6.42333994136533e-05,0.6059438001080772,0.9997849858274117,6.42333994136533e-05,0.0,0.0,0.0,3.0
llama,14,opd,160,50,0.01,0.60852385931625,0.9997736966015373,6.620528949362424e-05,0.60852385931625,0.9997736966015373,6.620528949362424e-05,0.0,0.0,0.0,2.0
llama,14,seqkd,160,50,0.01,0.6044950545375324,0.9997870976611573,6.103130726453334e-05,0.6044950545375324,0.9997870976611573,6.103130726453334e-05,0.0,0.0,0.0,4.0
llama,14,sft,160,50,0.01,0.6946735991577251,0.9997539250646216,9.390297575982995e-05,0.6946735991577251,0.9997539250646216,9.390297575982995e-05,0.0,0.0,0.0,1.0
llama,14,offkd,160,50,0.1,0.8456602195138524,0.9997849858274117,6.42333994136533e-05,0.8456602195138524,0.9997849858274117,6.42333994136533e-05,0.0,0.0,0.0,3.0
llama,14,opd,160,50,0.1,0.8487964300429891,0.9997736966015373,6.620528949362424e-05,0.8487964300429891,0.9997736966015373,6.620528949362424e-05,0.0,0.0,0.0,2.0
llama,14,seqkd,160,50,0.1,0.8439918977435321,0.9997870976611573,6.103130726453334e-05,0.8439918977435321,0.9997870976611573,6.103130726453334e-05,0.0,0.0,0.0,4.0
llama,14,sft,160,50,0.1,0.8884624086395453,0.9997539250646216,9.390297575982995e-05,0.8884624086395453,0.9997539250646216,9.390297575982995e-05,0.0,0.0,0.0,1.0
llama,14,offkd,320,16,0.01,0.785135437099447,0.9997810136773003,7.430013142775096e-05,0.785135437099447,0.9997810136773003,7.430013142775096e-05,0.0,0.0,0.0,4.0
llama,14,opd,320,16,0.01,0.7886817572142073,0.9997637035480401,8.593153689592885e-05,0.7886817572142073,0.9997637035480401,8.593153689592885e-05,0.0,0.0,0.0,2.0
llama,14,seqkd,320,16,0.01,0.7869951440314947,0.9997690319328513,8.076190328442827e-05,0.7869951440314947,0.9997690319328513,8.076190328442827e-05,0.0,0.0,0.0,3.0
llama,14,sft,320,16,0.01,0.8523097496895312,0.9997150704209223,0.000130459421300499,0.8523097496895312,0.9997150704209223,0.000130459421300499,0.0,0.0,0.0,1.0
llama,14,offkd,320,16,0.1,0.9261473311559463,0.9997810136773003,7.430013142775096e-05,0.9261473311559463,0.9997810136773003,7.430013142775096e-05,0.0,0.0,0.0,4.0
llama,14,opd,320,16,0.1,0.9295240948878034,0.9997637035480401,8.593153689592885e-05,0.9295240948878034,0.9997637035480401,8.593153689592885e-05,0.0,0.0,0.0,2.0
