model,family,arm,checkpoint,step,layer,headline_layer,module,source_rank_k,mask_density_alpha,total_entries,update_count,principal_top_count,overlap_count,update_density,coverage,overlap_lift,pabs_joint_mean_cos_k32,theta_u_mean_deg_k32,theta_v_mean_deg_k32,nss_l1_top32,nss_l2_top32,delta_construction,native_source,checkpoint_materialization,base_tensor_sha256,checkpoint_tensor_sha256
llama,llama3_2_3b,sft,20,20,7,14,self_attn.q_proj,32,0.01,9437184,3804087,94372,12553,0.4030955632527669,0.0032998719535068,0.3299866358844102,0.9996954928343166,1.930051317311153,0.0,6.944756832390209e-05,1.5415465086084344e-05,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,072e9e83e755724f894879a650236b0005421aaff1c84b7b9c9fa06ac3161db0,339bbd57f51cd41e8179c7eb8e5cb4040ed28de9345ea55301e9128c5289910b
llama,llama3_2_3b,sft,20,20,7,14,self_attn.q_proj,32,0.1,9437184,3804087,943718,257692,0.4030955632527669,0.0677408271682535,0.6774085588057103,0.9996954928343166,1.930051317311153,0.0,6.944756832390209e-05,1.5415465086084344e-05,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,072e9e83e755724f894879a650236b0005421aaff1c84b7b9c9fa06ac3161db0,339bbd57f51cd41e8179c7eb8e5cb4040ed28de9345ea55301e9128c5289910b
llama,llama3_2_3b,sft,20,20,7,14,self_attn.q_proj,50,0.01,9437184,3804087,94372,10419,0.4030955632527669,0.0027388963501623,0.2738891706587803,0.9996954928343166,1.930051317311153,0.0,6.944756832390209e-05,1.5415465086084344e-05,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,072e9e83e755724f894879a650236b0005421aaff1c84b7b9c9fa06ac3161db0,339bbd57f51cd41e8179c7eb8e5cb4040ed28de9345ea55301e9128c5289910b
llama,llama3_2_3b,sft,20,20,7,14,self_attn.q_proj,50,0.1,9437184,3804087,943718,234387,0.4030955632527669,0.0616145214344466,0.6161454755009624,0.9996954928343166,1.930051317311153,0.0,6.944756832390209e-05,1.5415465086084344e-05,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,072e9e83e755724f894879a650236b0005421aaff1c84b7b9c9fa06ac3161db0,339bbd57f51cd41e8179c7eb8e5cb4040ed28de9345ea55301e9128c5289910b
llama,llama3_2_3b,sft,160,160,7,14,self_attn.q_proj,16,0.01,9437184,6213139,94372,36355,0.6583678987291124,0.0058513096198234,0.5851299699406981,0.9996600125719404,2.0425159384075515,0.0,7.052292951576639e-05,1.6305784802528154e-05,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,072e9e83e755724f894879a650236b0005421aaff1c84b7b9c9fa06ac3161db0,51f43bb2e6ddce727ca532122c2eb942446eb45e54918dc987aa4c4b455d5497
llama,llama3_2_3b,sft,160,160,7,14,self_attn.q_proj,16,0.1,9437184,6213139,943718,529834,0.6583678987291124,0.0852763796206716,0.8527641576552828,0.9996600125719404,2.0425159384075515,0.0,7.052292951576639e-05,1.6305784802528154e-05,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,072e9e83e755724f894879a650236b0005421aaff1c84b7b9c9fa06ac3161db0,51f43bb2e6ddce727ca532122c2eb942446eb45e54918dc987aa4c4b455d5497
llama,llama3_2_3b,sft,160,160,7,14,self_attn.q_proj,32,0.01,9437184,6213139,94372,32736,0.6583678987291124,0.0052688343203008,0.5268825387423655,0.9996600125719404,2.0425159384075515,0.0,7.052292951576639e-05,1.6305784802528154e-05,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,072e9e83e755724f894879a650236b0005421aaff1c84b7b9c9fa06ac3161db0,51f43bb2e6ddce727ca532122c2eb942446eb45e54918dc987aa4c4b455d5497
llama,llama3_2_3b,sft,160,160,7,14,self_attn.q_proj,32,0.1,9437184,6213139,943718,500840,0.6583678987291124,0.0806098173564119,0.8060985152332086,0.9996600125719404,2.0425159384075515,0.0,7.052292951576639e-05,1.6305784802528154e-05,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,072e9e83e755724f894879a650236b0005421aaff1c84b7b9c9fa06ac3161db0,51f43bb2e6ddce727ca532122c2eb942446eb45e54918dc987aa4c4b455d5497
llama,llama3_2_3b,sft,160,160,7,14,self_attn.q_proj,50,0.01,9437184,6213139,94372,29959,0.6583678987291124,0.0048218782808496,0.4821870105749794,0.9996600125719404,2.0425159384075515,0.0,7.052292951576639e-05,1.6305784802528154e-05,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,072e9e83e755724f894879a650236b0005421aaff1c84b7b9c9fa06ac3161db0,51f43bb2e6ddce727ca532122c2eb942446eb45e54918dc987aa4c4b455d5497
llama,llama3_2_3b,sft,160,160,7,14,self_attn.q_proj,50,0.1,9437184,6213139,943718,478792,0.6583678987291124,0.0770612085131203,0.7706124117593212,0.9996600125719404,2.0425159384075515,0.0,7.052292951576639e-05,1.6305784802528154e-05,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,072e9e83e755724f894879a650236b0005421aaff1c84b7b9c9fa06ac3161db0,51f43bb2e6ddce727ca532122c2eb942446eb45e54918dc987aa4c4b455d5497
llama,llama3_2_3b,sft,320,320,7,14,self_attn.q_proj,16,0.01,9437184,6969075,94372,46334,0.7384697596232096,0.0066485150468318,0.6648503774818931,0.9996541103266552,2.056807179120568,0.0,7.249640918078476e-05,1.7302053156059667e-05,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,072e9e83e755724f894879a650236b0005421aaff1c84b7b9c9fa06ac3161db0,e282415a0d4e7e24c8185f717b5a3b811a001ad73555f5c6a09d45b43e176e74
llama,llama3_2_3b,sft,320,320,7,14,self_attn.q_proj,16,0.1,9437184,6969075,943718,617093,0.7384697596232096,0.0885473323217213,0.8854736985298906,0.9996541103266552,2.056807179120568,0.0,7.249640918078476e-05,1.7302053156059667e-05,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,072e9e83e755724f894879a650236b0005421aaff1c84b7b9c9fa06ac3161db0,e282415a0d4e7e24c8185f717b5a3b811a001ad73555f5c6a09d45b43e176e74
llama,llama3_2_3b,sft,320,320,7,14,self_attn.q_proj,32,0.01,9437184,6969075,94372,43071,0.7384697596232096,0.0061803036988409,0.6180293220641995,0.9996541103266552,2.056807179120568,0.0,7.249640918078476e-05,1.7302053156059667e-05,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,072e9e83e755724f894879a650236b0005421aaff1c84b7b9c9fa06ac3161db0,e282415a0d4e7e24c8185f717b5a3b811a001ad73555f5c6a09d45b43e176e74
llama,llama3_2_3b,sft,320,320,7,14,self_attn.q_proj,32,0.1,9437184,6969075,943718,592949,0.7384697596232096,0.0850828840269332,0.8508292008977578,0.9996541103266552,2.056807179120568,0.0,7.249640918078476e-05,1.7302053156059667e-05,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,072e9e83e755724f894879a650236b0005421aaff1c84b7b9c9fa06ac3161db0,e282415a0d4e7e24c8185f717b5a3b811a001ad73555f5c6a09d45b43e176e74
llama,llama3_2_3b,sft,320,320,7,14,self_attn.q_proj,50,0.01,9437184,6969075,94372,40256,0.7384697596232096,0.0057763763483676,0.5776366554994409,0.9996541103266552,2.056807179120568,0.0,7.249640918078476e-05,1.7302053156059667e-05,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,072e9e83e755724f894879a650236b0005421aaff1c84b7b9c9fa06ac3161db0,e282415a0d4e7e24c8185f717b5a3b811a001ad73555f5c6a09d45b43e176e74
llama,llama3_2_3b,sft,320,320,7,14,self_attn.q_proj,50,0.1,9437184,6969075,943718,573619,0.7384697596232096,0.0823092017233277,0.823092366105299,0.9996541103266552,2.056807179120568,0.0,7.249640918078476e-05,1.7302053156059667e-05,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,072e9e83e755724f894879a650236b0005421aaff1c84b7b9c9fa06ac3161db0,e282415a0d4e7e24c8185f717b5a3b811a001ad73555f5c6a09d45b43e176e74
llama,llama3_2_3b,offkd,20,20,7,14,self_attn.q_proj,16,0.01,9437184,3178134,94372,10803,0.3367671966552734,0.0033991644153456,0.3399158652340623,0.9996744162256628,1.9967809822200264,0.0,7.157479678661025e-05,1.5955315880310145e-05,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,072e9e83e755724f894879a650236b0005421aaff1c84b7b9c9fa06ac3161db0,366e24b2b15c42f59f7fa07d724fbc5c5588b40a2749822cecb7cb43f57c3ebb
llama,llama3_2_3b,offkd,20,20,7,14,self_attn.q_proj,16,0.1,9437184,3178134,943718,226343,0.3367671966552734,0.0712188346998584,0.7121886488634838,0.9996744162256628,1.9967809822200264,0.0,7.157479678661025e-05,1.5955315880310145e-05,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,072e9e83e755724f894879a650236b0005421aaff1c84b7b9c9fa06ac3161db0,366e24b2b15c42f59f7fa07d724fbc5c5588b40a2749822cecb7cb43f57c3ebb
llama,llama3_2_3b,offkd,20,20,7,14,self_attn.q_proj,32,0.01,9437184,3178134,94372,8796,0.3367671966552734,0.0027676617788928,0.2767657086548933,0.9996744162256628,1.9967809822200264,0.0,7.157479678661025e-05,1.5955315880310145e-05,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,072e9e83e755724f894879a650236b0005421aaff1c84b7b9c9fa06ac3161db0,366e24b2b15c42f59f7fa07d724fbc5c5588b40a2749822cecb7cb43f57c3ebb
llama,llama3_2_3b,offkd,20,20,7,14,self_attn.q_proj,32,0.1,9437184,3178134,943718,199060,0.3367671966552734,0.0626342375746271,0.6263426412248891,0.9996744162256628,1.9967809822200264,0.0,7.157479678661025e-05,1.5955315880310145e-05,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,072e9e83e755724f894879a650236b0005421aaff1c84b7b9c9fa06ac3161db0,366e24b2b15c42f59f7fa07d724fbc5c5588b40a2749822cecb7cb43f57c3ebb
llama,llama3_2_3b,offkd,20,20,7,14,self_attn.q_proj,50,0.01,9437184,3178134,94372,7293,0.3367671966552734,0.0022947427641502,0.2294738873601792,0.9996744162256628,1.9967809822200264,0.0,7.157479678661025e-05,1.5955315880310145e-05,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,072e9e83e755724f894879a650236b0005421aaff1c84b7b9c9fa06ac3161db0,366e24b2b15c42f59f7fa07d724fbc5c5588b40a2749822cecb7cb43f57c3ebb
llama,llama3_2_3b,offkd,20,20,7,14,self_attn.q_proj,50,0.1,9437184,3178134,943718,179463,0.3367671966552734,0.0564680406804747,0.5646806461476052,0.9996744162256628,1.9967809822200264,0.0,7.157479678661025e-05,1.5955315880310145e-05,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,072e9e83e755724f894879a650236b0005421aaff1c84b7b9c9fa06ac3161db0,366e24b2b15c42f59f7fa07d724fbc5c5588b40a2749822cecb7cb43f57c3ebb
llama,llama3_2_3b,offkd,160,160,7,14,self_attn.q_proj,16,0.01,9437184,5626421,94372,30319,0.5961970223320855,0.0053886831433339,0.5388674007262813,0.9996550304547892,2.065208196744205,0.0,6.540268662497475e-05,1.4221138732685358e-05,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,072e9e83e755724f894879a650236b0005421aaff1c84b7b9c9fa06ac3161db0,0268d7d1ceaaaed953500e673a75ef033d4121c5a4faf7ecba25e449db764daa
llama,llama3_2_3b,offkd,160,160,7,14,self_attn.q_proj,16,0.1,9437184,5626421,943718,464348,0.5961970223320855,0.0825299066671335,0.825299416478827,0.9996550304547892,2.065208196744205,0.0,6.540268662497475e-05,1.4221138732685358e-05,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,072e9e83e755724f894879a650236b0005421aaff1c84b7b9c9fa06ac3161db0,0268d7d1ceaaaed953500e673a75ef033d4121c5a4faf7ecba25e449db764daa
llama,llama3_2_3b,offkd,160,160,7,14,self_attn.q_proj,32,0.01,9437184,5626421,94372,26403,0.5961970223320855,0.0046926811911159,0.4692673235059205,0.9996550304547892,2.065208196744205,0.0,6.540268662497475e-05,1.4221138732685358e-05,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,072e9e83e755724f894879a650236b0005421aaff1c84b7b9c9fa06ac3161db0,0268d7d1ceaaaed953500e673a75ef033d4121c5a4faf7ecba25e449db764daa
llama,llama3_2_3b,offkd,160,160,7,14,self_attn.q_proj,32,0.1,9437184,5626421,943718,430575,0.5961970223320855,0.07652733416145,0.7652736659797629,0.9996550304547892,2.065208196744205,0.0,6.540268662497475e-05,1.4221138732685358e-05,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,072e9e83e755724f894879a650236b0005421aaff1c84b7b9c9fa06ac3161db0,0268d7d1ceaaaed953500e673a75ef033d4121c5a4faf7ecba25e449db764daa
llama,llama3_2_3b,offkd,160,160,7,14,self_attn.q_proj,50,0.01,9437184,5626421,94372,23118,0.5961970223320855,0.0041088286852334,0.4108821719050816,0.9996550304547892,2.065208196744205,0.0,6.540268662497475e-05,1.4221138732685358e-05,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,072e9e83e755724f894879a650236b0005421aaff1c84b7b9c9fa06ac3161db0,0268d7d1ceaaaed953500e673a75ef033d4121c5a4faf7ecba25e449db764daa
llama,llama3_2_3b,offkd,160,160,7,14,self_attn.q_proj,50,0.1,9437184,5626421,943718,405864,0.5961970223320855,0.0721353770007612,0.7213540757573257,0.9996550304547892,2.065208196744205,0.0,6.540268662497475e-05,1.4221138732685358e-05,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,072e9e83e755724f894879a650236b0005421aaff1c84b7b9c9fa06ac3161db0,0268d7d1ceaaaed953500e673a75ef033d4121c5a4faf7ecba25e449db764daa
llama,llama3_2_3b,offkd,320,320,7,14,self_attn.q_proj,16,0.01,9437184,6256870,94372,36836,0.6630018022325304,0.0058872886922694,0.5887278710853457,0.9996748158179792,1.9908608754772528,0.0,7.981745681862398e-05,1.8089065930745644e-05,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,072e9e83e755724f894879a650236b0005421aaff1c84b7b9c9fa06ac3161db0,918c6ffa820b50a9763b22517b08c2ef36722913e2b2a72556fe5737b54908db
llama,llama3_2_3b,offkd,320,320,7,14,self_attn.q_proj,16,0.1,9437184,6256870,943718,531196,0.6630018022325304,0.0848980400743502,0.8489807605884567,0.9996748158179792,1.9908608754772528,0.0,7.981745681862398e-05,1.8089065930745644e-05,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,072e9e83e755724f894879a650236b0005421aaff1c84b7b9c9fa06ac3161db0,918c6ffa820b50a9763b22517b08c2ef36722913e2b2a72556fe5737b54908db
llama,llama3_2_3b,offkd,320,320,7,14,self_attn.q_proj,32,0.01,9437184,6256870,94372,33091,0.6630018022325304,0.0052887466097265,0.5288737643089688,0.9996748158179792,1.9908608754772528,0.0,7.981745681862398e-05,1.8089065930745644e-05,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,072e9e83e755724f894879a650236b0005421aaff1c84b7b9c9fa06ac3161db0,918c6ffa820b50a9763b22517b08c2ef36722913e2b2a72556fe5737b54908db
llama,llama3_2_3b,offkd,320,320,7,14,self_attn.q_proj,32,0.1,9437184,6256870,943718,500896,0.6630018022325304,0.0800553631448312,0.8005539707673168,0.9996748158179792,1.9908608754772528,0.0,7.981745681862398e-05,1.8089065930745644e-05,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,072e9e83e755724f894879a650236b0005421aaff1c84b7b9c9fa06ac3161db0,918c6ffa820b50a9763b22517b08c2ef36722913e2b2a72556fe5737b54908db
llama,llama3_2_3b,offkd,320,320,7,14,self_attn.q_proj,50,0.01,9437184,6256870,94372,29850,0.6630018022325304,0.0047707559850212,0.4770747896595062,0.9996748158179792,1.9908608754772528,0.0,7.981745681862398e-05,1.8089065930745644e-05,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,072e9e83e755724f894879a650236b0005421aaff1c84b7b9c9fa06ac3161db0,918c6ffa820b50a9763b22517b08c2ef36722913e2b2a72556fe5737b54908db
