family,model,arm,step,checkpoint,layer,module,rank_fraction,k,rank_spec_kind,p_k,delta_construction,native_source,checkpoint_materialization,source_svd_dtype,projection_dtype,base_tensor_sha256,checkpoint_tensor_sha256,checkpoint_root
llama3_2_3b,llama,sft,40,40,14,self_attn.q_proj,0.005208333333333333,16,fixed_k,0.00010647836461430416,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,torch.float32,torch.float32,68a7c5a1e7f0af5e261ec481d3c4785841d00fd15e7cc2caf5ea0f41abaf11bc,aa0c77fb51c05525b3738f780cfb108964ef2a93e92b5f1e512e072ec5f2902d,/root/autodl-tmp/cycle09_block3/llama_models/merged/sft/step_040
llama3_2_3b,llama,sft,40,40,14,self_attn.q_proj,0.010416666666666666,32,fixed_k,0.0002946374879684299,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,torch.float32,torch.float32,68a7c5a1e7f0af5e261ec481d3c4785841d00fd15e7cc2caf5ea0f41abaf11bc,aa0c77fb51c05525b3738f780cfb108964ef2a93e92b5f1e512e072ec5f2902d,/root/autodl-tmp/cycle09_block3/llama_models/merged/sft/step_040
llama3_2_3b,llama,sft,80,80,14,self_attn.q_proj,0.0013020833333333333,4,fixed_k,6.471676897490397e-05,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,torch.float32,torch.float32,68a7c5a1e7f0af5e261ec481d3c4785841d00fd15e7cc2caf5ea0f41abaf11bc,619e2e1712fe8d464709598bf2ffc34ef57786be06e40c09fb2d184d1cc4f438,/root/autodl-tmp/cycle09_block3/llama_models/merged/sft/step_080
llama3_2_3b,llama,sft,80,80,14,self_attn.q_proj,0.0026041666666666665,8,fixed_k,0.00010414298594696447,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,torch.float32,torch.float32,68a7c5a1e7f0af5e261ec481d3c4785841d00fd15e7cc2caf5ea0f41abaf11bc,619e2e1712fe8d464709598bf2ffc34ef57786be06e40c09fb2d184d1cc4f438,/root/autodl-tmp/cycle09_block3/llama_models/merged/sft/step_080
llama3_2_3b,llama,sft,80,80,14,self_attn.q_proj,0.005208333333333333,16,fixed_k,0.0002022108674282208,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,torch.float32,torch.float32,68a7c5a1e7f0af5e261ec481d3c4785841d00fd15e7cc2caf5ea0f41abaf11bc,619e2e1712fe8d464709598bf2ffc34ef57786be06e40c09fb2d184d1cc4f438,/root/autodl-tmp/cycle09_block3/llama_models/merged/sft/step_080
llama3_2_3b,llama,sft,80,80,14,self_attn.q_proj,0.010416666666666666,32,fixed_k,0.0004431274428498,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,torch.float32,torch.float32,68a7c5a1e7f0af5e261ec481d3c4785841d00fd15e7cc2caf5ea0f41abaf11bc,619e2e1712fe8d464709598bf2ffc34ef57786be06e40c09fb2d184d1cc4f438,/root/autodl-tmp/cycle09_block3/llama_models/merged/sft/step_080
llama3_2_3b,llama,sft,160,160,14,self_attn.q_proj,0.0013020833333333333,4,fixed_k,6.952528201509267e-05,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,torch.float32,torch.float32,68a7c5a1e7f0af5e261ec481d3c4785841d00fd15e7cc2caf5ea0f41abaf11bc,7167b5131afc9ef5c5f94e6e05aea6d2d91893b60029029ad341879d769fc78c,/root/autodl-tmp/cycle09_block3/llama_models/merged/sft/step_160
llama3_2_3b,llama,sft,160,160,14,self_attn.q_proj,0.0026041666666666665,8,fixed_k,0.00011758410255424678,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,torch.float32,torch.float32,68a7c5a1e7f0af5e261ec481d3c4785841d00fd15e7cc2caf5ea0f41abaf11bc,7167b5131afc9ef5c5f94e6e05aea6d2d91893b60029029ad341879d769fc78c,/root/autodl-tmp/cycle09_block3/llama_models/merged/sft/step_160
llama3_2_3b,llama,sft,160,160,14,self_attn.q_proj,0.005208333333333333,16,fixed_k,0.0002488811733201146,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,torch.float32,torch.float32,68a7c5a1e7f0af5e261ec481d3c4785841d00fd15e7cc2caf5ea0f41abaf11bc,7167b5131afc9ef5c5f94e6e05aea6d2d91893b60029029ad341879d769fc78c,/root/autodl-tmp/cycle09_block3/llama_models/merged/sft/step_160
llama3_2_3b,llama,sft,160,160,14,self_attn.q_proj,0.010416666666666666,32,fixed_k,0.00048328479169867933,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,torch.float32,torch.float32,68a7c5a1e7f0af5e261ec481d3c4785841d00fd15e7cc2caf5ea0f41abaf11bc,7167b5131afc9ef5c5f94e6e05aea6d2d91893b60029029ad341879d769fc78c,/root/autodl-tmp/cycle09_block3/llama_models/merged/sft/step_160
