model,family,arm,checkpoint,step,layer,module,source_rank_k,mask_density_alpha,principal_top_count,update_count,total_entries,update_density,overlap_count,coverage,overlap_lift,random_null_type,random_null_rank,random_null_seeds,random_null_overlap_lift_mean,random_null_overlap_lift_std,overlap_lift_minus_random_null,delta_construction,native_source,checkpoint_materialization,base_tensor_sha256,checkpoint_tensor_sha256
llama,llama3_2_3b,sft,20,20,14,self_attn.q_proj,32,0.01,94372,3934517,9437184,0.4169164233737522,11496,0.0029218325908872,0.2921827637159313,rank32_norm_matched_lowrank_bf16_mask,32.0,3.0,0.2651036879550733,0.0034414539446662,0.027079075760858,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,68a7c5a1e7f0af5e261ec481d3c4785841d00fd15e7cc2caf5ea0f41abaf11bc,5809571e94214dfa4096b4cd1961633182b63701acb87f2bfefa854b6ffd0156
llama,llama3_2_3b,sft,20,20,14,self_attn.q_proj,32,0.1,943718,3934517,9437184,0.4169164233737522,247551,0.0629177609348237,0.6291778760285847,rank32_norm_matched_lowrank_bf16_mask,32.0,3.0,0.6056909707853871,0.0008428975815336,0.0234869052431975,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,68a7c5a1e7f0af5e261ec481d3c4785841d00fd15e7cc2caf5ea0f41abaf11bc,5809571e94214dfa4096b4cd1961633182b63701acb87f2bfefa854b6ffd0156
llama,llama3_2_3b,sft,20,20,14,self_attn.q_proj,50,0.01,94372,3934517,9437184,0.4169164233737522,8095,0.0020574317000028,0.2057428211795811,rank32_norm_matched_lowrank_bf16_mask,32.0,3.0,0.1850687619746411,0.0019949682093017,0.02067405920494,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,68a7c5a1e7f0af5e261ec481d3c4785841d00fd15e7cc2caf5ea0f41abaf11bc,5809571e94214dfa4096b4cd1961633182b63701acb87f2bfefa854b6ffd0156
llama,llama3_2_3b,sft,20,20,14,self_attn.q_proj,50,0.1,943718,3934517,9437184,0.4169164233737522,226231,0.0574990526156069,0.5749907698689269,rank32_norm_matched_lowrank_bf16_mask,32.0,3.0,0.5548130665250744,0.0009468066076218,0.0201777033438524,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,68a7c5a1e7f0af5e261ec481d3c4785841d00fd15e7cc2caf5ea0f41abaf11bc,5809571e94214dfa4096b4cd1961633182b63701acb87f2bfefa854b6ffd0156
llama,llama3_2_3b,sft,160,160,14,self_attn.q_proj,16,0.01,94372,6811877,9437184,0.7218124601576064,43826,0.0064337626765721,0.6433751768654209,rank32_norm_matched_lowrank_bf16_mask,32.0,3.0,0.6318533875839858,0.0041275155756818,0.0115217892814351,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,68a7c5a1e7f0af5e261ec481d3c4785841d00fd15e7cc2caf5ea0f41abaf11bc,7167b5131afc9ef5c5f94e6e05aea6d2d91893b60029029ad341879d769fc78c
llama,llama3_2_3b,sft,160,160,14,self_attn.q_proj,16,0.1,943718,6811877,9437184,0.7218124601576064,575884,0.0845411624431856,0.8454119827641651,rank32_norm_matched_lowrank_bf16_mask,32.0,3.0,0.8414144302962404,0.0010461841784395,0.0039975524679246,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,68a7c5a1e7f0af5e261ec481d3c4785841d00fd15e7cc2caf5ea0f41abaf11bc,7167b5131afc9ef5c5f94e6e05aea6d2d91893b60029029ad341879d769fc78c
llama,llama3_2_3b,sft,160,160,14,self_attn.q_proj,32,0.01,94372,6811877,9437184,0.7218124601576064,36531,0.0053628390530245,0.536282996077002,rank32_norm_matched_lowrank_bf16_mask,32.0,3.0,0.5336883734312278,0.0032445659446297,0.0025946226457742,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,68a7c5a1e7f0af5e261ec481d3c4785841d00fd15e7cc2caf5ea0f41abaf11bc,7167b5131afc9ef5c5f94e6e05aea6d2d91893b60029029ad341879d769fc78c
llama,llama3_2_3b,sft,160,160,14,self_attn.q_proj,32,0.1,943718,6811877,9437184,0.7218124601576064,549268,0.0806338693432074,0.8063390352031093,rank32_norm_matched_lowrank_bf16_mask,32.0,3.0,0.8053603122564098,0.0007079967795523,0.0009787229466995,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,68a7c5a1e7f0af5e261ec481d3c4785841d00fd15e7cc2caf5ea0f41abaf11bc,7167b5131afc9ef5c5f94e6e05aea6d2d91893b60029029ad341879d769fc78c
llama,llama3_2_3b,sft,160,160,14,self_attn.q_proj,50,0.01,94372,6811877,9437184,0.7218124601576064,30905,0.0045369286615128,0.4536920969521706,rank32_norm_matched_lowrank_bf16_mask,32.0,3.0,0.4522025521849122,0.0034829947022304,0.0014895447672584,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,68a7c5a1e7f0af5e261ec481d3c4785841d00fd15e7cc2caf5ea0f41abaf11bc,7167b5131afc9ef5c5f94e6e05aea6d2d91893b60029029ad341879d769fc78c
llama,llama3_2_3b,sft,160,160,14,self_attn.q_proj,50,0.1,943718,6811877,9437184,0.7218124601576064,527980,0.0775087395148209,0.7750877236732118,rank32_norm_matched_lowrank_bf16_mask,32.0,3.0,0.7755724678626033,0.0007579714142557,-0.0004847441893914,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,68a7c5a1e7f0af5e261ec481d3c4785841d00fd15e7cc2caf5ea0f41abaf11bc,7167b5131afc9ef5c5f94e6e05aea6d2d91893b60029029ad341879d769fc78c
