model,arm,checkpoint,probe_name,layer,epsilon,tail_at_r,tail_at_r_minus_1,margin_below,margin_above,two_sided_tail_margin,stable_rank,entropy_effective_rank,top1_energy_share,top10_energy_share,zero_probability_count,module_count
llama,opd,80,E_math,14,0.025,0.022095674300056888,0.026336501130582352,0.02790432569994311,-0.023663498869417654,-0.023663498869417654,1.0858785370469102,1.611408194848335,0.9226757827751159,0.9847726381154527,0.0,7
llama,opd,80,E_math,14,0.05,0.04112228468561981,0.3291397440929143,0.008877715314380185,0.2791397440929143,0.00853808964487371,1.0858785370469102,1.611408194848335,0.9226757827751159,0.9847726381154527,0.0,7
llama,opd,80,E_math,14,0.1,0.06596977079310032,0.7517360091574822,-0.015969770793100323,0.7017360091574822,-0.015969770793100323,1.0858785370469102,1.611408194848335,0.9226757827751159,0.9847726381154527,0.0,7
llama,opd,80,E_ood,14,0.01,0.009534586151696316,0.010807540089946294,0.04046541384830369,-0.03919245991005371,-0.03919245991005371,1.1125474272081048,1.8127386537876156,0.9029791438758371,0.9798485717131685,0.0,7
llama,opd,80,E_ood,14,0.025,0.023030346314622956,0.02698445292111101,0.026969653685377046,-0.023015547078888997,-0.023015547078888997,1.1125474272081048,1.8127386537876156,0.9029791438758371,0.9798485717131685,0.0,7
llama,opd,80,E_ood,14,0.05,0.04299135914854048,0.32583373657953957,0.007008640851459524,0.2758337365795395,0.0066988698832321225,1.1125474272081048,1.8127386537876156,0.9029791438758371,0.9798485717131685,0.0,7
llama,opd,80,E_ood,14,0.1,0.07013969355057585,0.7468641760240509,-0.020139693550575846,0.6968641760240508,-0.020139693550575846,1.1125474272081048,1.8127386537876156,0.9029791438758371,0.9798485717131685,0.0,7
llama,seqkd,20,E_general,14,0.01,0.008356771798834022,0.011487508423966336,0.041643228201165984,-0.03851249157603366,-0.03851249157603366,1.6777341356233795,6.348765862042113,0.6078473485995671,0.8729954558914397,0.0,7
llama,seqkd,20,E_general,14,0.025,0.023717142449775946,0.02809051987616255,0.026282857550224057,-0.02190948012383745,-0.02190948012383745,1.6777341356233795,6.348765862042113,0.6078473485995671,0.8729954558914397,0.0,7
llama,seqkd,20,E_general,14,0.05,0.04692115379656276,0.05290166578582874,0.0030788462034372433,0.0029016657858287422,0.0014104335711242308,1.6777341356233795,6.348765862042113,0.6078473485995671,0.8729954558914397,0.0,7
llama,seqkd,20,E_general,14,0.1,0.09576589219567454,0.10600571166935523,-0.04576589219567454,0.05600571166935521,-0.04576589219567454,1.6777341356233795,6.348765862042113,0.6078473485995671,0.8729954558914397,0.0,7
llama,seqkd,20,E_if,14,0.01,0.00871530082481632,0.011120384711589862,0.04128469917518368,-0.03887961528841014,-0.03887961528841014,1.5075785481231512,4.582686521298884,0.6937876954962648,0.9109214833440173,0.0,7
llama,seqkd,20,E_if,14,0.025,0.023096271380237114,0.026552734282334702,0.02690372861976289,-0.023447265717665304,-0.023447265717665304,1.5075785481231512,4.582686521298884,0.6937876954962648,0.9109214833440173,0.0,7
llama,seqkd,20,E_if,14,0.05,0.04779547252138664,0.053284451682015344,0.002204527478613364,0.003284451682015343,0.0011912339865945787,1.5075785481231512,4.582686521298884,0.6937876954962648,0.9109214833440173,0.0,7
llama,seqkd,20,E_if,14,0.1,0.0966104130950468,0.10852802064039364,-0.046610413095046786,0.058528020640393634,-0.046610413095046786,1.5075785481231512,4.582686521298884,0.6937876954962648,0.9109214833440173,0.0,7
llama,seqkd,20,E_math,14,0.01,0.008693117421439913,0.010513836842919714,0.04130688257856009,-0.03948616315708029,-0.03948616315708029,1.3033373565175066,3.3249414967090476,0.7791811774968654,0.9385437485135574,0.0,7
