model,arm,checkpoint,probe_name,layer,epsilon,state_rank_current,state_rank_base,absolute_contraction,relative_functional_contraction_module,tail_at_r,tail_at_r_minus_1,margin_below,margin_above,two_sided_tail_margin,stable_rank,entropy_effective_rank,top1_energy_share,top10_energy_share,top32_energy_share,stable_rank_base,entropy_effective_rank_base,stable_rank_contraction,entropy_effective_rank_contraction,module_count
llama,opd,20,E_math,14,0.05,333.85714285714283,345.42857142857144,11.571428571428571,0.040697522427872994,0.049889594388977054,0.050193290971923314,0.00011040561102294646,0.00019329097192330745,6.48269266743751e-05,4.353400749382932,105.76025828949051,0.403784365217594,0.5543741798688361,0.6743345788395747,4.781656550492651,114.75218677756007,0.42825580110971956,8.991928488069558,7
llama,opd,20,E_math,14,0.1,204.71428571428572,213.14285714285714,8.428571428571429,0.046924874499712214,0.09937399456447894,0.10025165128058011,0.0006260054355210606,0.00025165128058010833,0.00014343331486648441,4.353400749382932,105.76025828949051,0.403784365217594,0.5543741798688361,0.6743345788395747,4.781656550492651,114.75218677756007,0.42825580110971956,8.991928488069558,7
llama,opd,20,E_ood,14,0.01,1327.142857142857,1343.5714285714287,16.428571428571427,0.012395663924630169,0.00997957960597312,0.010017652253759491,2.042039402688147e-05,1.7652253759491044e-05,1.097524807665681e-05,5.460722991033539,199.67550591986938,0.37487514258456806,0.5301004449041907,0.6240934533165584,5.847751852800548,211.75172134221944,0.38702886176700874,12.076215422350087,7
llama,opd,20,E_ood,14,0.025,975.2857142857143,992.7142857142857,17.428571428571427,0.01914680196007663,0.02495734081152538,0.025042938154974746,4.26591884746188e-05,4.293815497474614e-05,2.7244382909529657e-05,5.460722991033539,199.67550591986938,0.37487514258456806,0.5301004449041907,0.6240934533165584,5.847751852800548,211.75172134221944,0.38702886176700874,12.076215422350087,7
llama,opd,20,E_ood,14,0.05,701.7142857142857,717.4285714285714,15.714285714285714,0.027909999685401286,0.049940275235517154,0.05014125970229705,5.972476448284517e-05,0.00014125970229704167,2.817114281282352e-05,5.460722991033539,199.67550591986938,0.37487514258456806,0.5301004449041907,0.6240934533165584,5.847751852800548,211.75172134221944,0.38702886176700874,12.076215422350087,7
llama,opd,20,E_ood,14,0.1,449.42857142857144,461.85714285714283,12.428571428571429,0.03383233579511688,0.09969884349089049,0.10036332189863176,0.00030115650910951926,0.00036332189863176205,0.00019298762163408312,5.460722991033539,199.67550591986938,0.37487514258456806,0.5301004449041907,0.6240934533165584,5.847751852800548,211.75172134221944,0.38702886176700874,12.076215422350087,7
llama,opd,40,E_general,14,0.01,1381.4285714285713,1393.7142857142858,12.285714285714286,0.009572716007872833,0.009984504894391706,0.010024153293515387,1.5495105608293977e-05,2.415329351538533e-05,1.4277894558710133e-05,7.493940704135733,291.18475445101194,0.3542258721533211,0.4765783942804739,0.5765036171455694,7.9667951484733175,302.6426772076835,0.47285444433758367,11.457922756671596,7
llama,opd,40,E_general,14,0.025,1038.2857142857142,1050.7142857142858,12.428571428571429,0.013812663806034712,0.024943903004792548,0.025028271061365716,5.6096995207454166e-05,2.8271061365715438e-05,2.0658158443263258e-05,7.493940704135733,291.18475445101194,0.3542258721533211,0.4765783942804739,0.5765036171455694,7.9667951484733175,302.6426772076835,0.47285444433758367,11.457922756671596,7
llama,opd,40,E_general,14,0.05,764.7142857142857,776.2857142857143,11.571428571428571,0.01901908233880944,0.04993614171882349,0.05011889662274679,6.38582811765126e-05,0.00011889662274678399,3.995862291571074e-05,7.493940704135733,291.18475445101194,0.3542258721533211,0.4765783942804739,0.5765036171455694,7.9667951484733175,302.6426772076835,0.47285444433758367,11.457922756671596,7
llama,opd,40,E_general,14,0.1,507.7142857142857,517.2857142857143,9.571428571428571,0.02374659269347142,0.09961590812841192,0.10020375090373639,0.00038409187158808055,0.00020375090373638588,0.00014040322127753524,7.493940704135733,291.18475445101194,0.3542258721533211,0.4765783942804739,0.5765036171455694,7.9667951484733175,302.6426772076835,0.47285444433758367,11.457922756671596,7
