model,arm,checkpoint,probe_name,layer,epsilon,module_count,displacement_rank,stable_rank,entropy_effective_rank,top1_energy_share,top10_energy_share,tail_at_r,two_sided_tail_margin
llama,seqkd,40,E_if,14,0.1,7,7.428571428571429,1.4480702896607007,4.10443626873777,0.7286905558021175,0.9214550821491571,0.09543440102516608,0.002674497216621443
llama,seqkd,40,E_math,14,0.01,7,23.571428571428573,1.269788343651058,3.05255529840628,0.7979852367067698,0.9444275863491713,0.0088805929709301,0.00032054363069861964
llama,seqkd,40,E_math,14,0.025,7,16.714285714285715,1.269788343651058,3.05255529840628,0.7979852367067698,0.9444275863491713,0.023158905704067145,0.0008233130643014485
llama,seqkd,40,E_math,14,0.05,7,10.428571428571429,1.269788343651058,3.05255529840628,0.7979852367067698,0.9444275863491713,0.04707742512128626,0.0022609512407038854
llama,seqkd,40,E_math,14,0.1,7,5.428571428571429,1.269788343651058,3.05255529840628,0.7979852367067698,0.9444275863491713,0.08807786364701566,0.003961312602486614
llama,seqkd,40,E_ood,14,0.01,7,25.714285714285715,1.3680361778311916,3.794155757388127,0.7423626790932557,0.9263124848608636,0.0089506246760557,0.0003954811299530708
llama,seqkd,40,E_ood,14,0.025,7,19.857142857142858,1.3680361778311916,3.794155757388127,0.7423626790932557,0.9263124848608636,0.02336240460421563,0.0007693221473113715
llama,seqkd,40,E_ood,14,0.05,7,13.714285714285714,1.3680361778311916,3.794155757388127,0.7423626790932557,0.9263124848608636,0.04736890960830821,0.001107927731821557
llama,seqkd,40,E_ood,14,0.1,7,7.285714285714286,1.3680361778311916,3.794155757388127,0.7423626790932557,0.9263124848608636,0.09322251372931194,0.0035888860209926715
llama,seqkd,80,E_general,14,0.01,7,27.428571428571427,1.631258873391927,5.95657570851589,0.6431666760299287,0.8819520958977966,0.008458933132931215,0.00032804651617342667
llama,seqkd,80,E_general,14,0.025,7,22.428571428571427,1.631258873391927,5.95657570851589,0.6431666760299287,0.8819520958977966,0.023404461958498657,0.0010228980713285127
llama,seqkd,80,E_general,14,0.05,7,17.285714285714285,1.631258873391927,5.95657570851589,0.6431666760299287,0.8819520958977966,0.0468328734103477,0.0020260889221615287
llama,seqkd,80,E_general,14,0.1,7,11.285714285714286,1.631258873391927,5.95657570851589,0.6431666760299287,0.8819520958977966,0.09199630782580655,0.005786417038239586
llama,seqkd,80,E_if,14,0.01,7,25.0,1.4725559900507537,4.238245670936739,0.7322162607264037,0.9195948743913841,0.00881859608185587,0.0003442790123051857
llama,seqkd,80,E_if,14,0.025,7,19.0,1.4725559900507537,4.238245670936739,0.7322162607264037,0.9195948743913841,0.023135956945418274,0.0009926647387473286
llama,seqkd,80,E_if,14,0.05,7,13.285714285714286,1.4725559900507537,4.238245670936739,0.7322162607264037,0.9195948743913841,0.04725304516348246,0.0017664056086487288
llama,seqkd,80,E_if,14,0.1,7,7.714285714285714,1.4725559900507537,4.238245670936739,0.7322162607264037,0.9195948743913841,0.087229336069003,0.009348161798646856
llama,seqkd,80,E_math,14,0.01,7,22.571428571428573,1.3023431069429348,3.2952099470148926,0.7804458161764535,0.9401290011720131,0.009241379379126557,0.0003646960802592571
llama,seqkd,80,E_math,14,0.025,7,16.285714285714285,1.3023431069429348,3.2952099470148926,0.7804458161764535,0.9401290011720131,0.023453440674550845,0.0007867632887075971
llama,seqkd,80,E_math,14,0.05,7,10.857142857142858,1.3023431069429348,3.2952099470148926,0.7804458161764535,0.9401290011720131,0.046128067940089,0.0038719320599109
llama,seqkd,80,E_math,14,0.1,7,5.857142857142857,1.3023431069429348,3.2952099470148926,0.7804458161764535,0.9401290011720131,0.08756359962621488,0.011769460351378347
llama,seqkd,80,E_ood,14,0.01,7,24.857142857142858,1.384903407924696,3.9418260220035277,0.7370763374816242,0.9242039344382279,0.00888797816809293,0.0005546024790342572
llama,seqkd,80,E_ood,14,0.025,7,18.714285714285715,1.384903407924696,3.9418260220035277,0.7370763374816242,0.9242039344382279,0.0237705230062158,0.0009826804210429142
llama,seqkd,80,E_ood,14,0.05,7,13.285714285714286,1.384903407924696,3.9418260220035277,0.7370763374816242,0.9242039344382279,0.04723858568074206,0.002594980866849586
llama,seqkd,80,E_ood,14,0.1,7,7.857142857142857,1.384903407924696,3.9418260220035277,0.7370763374816242,0.9242039344382279,0.0864238274977259,0.011075681057122913
llama,sft,20,E_general,14,0.01,7,25.857142857142858,1.4640010501577199,4.605075376765688,0.6933524856842824,0.9146911627094682,0.00923383306606117,0.0006916126424330428
llama,sft,20,E_general,14,0.025,7,20.714285714285715,1.4640010501577199,4.605075376765688,0.6933524856842824,0.9146911627094682,0.023139203843165087,0.001097696444316143
llama,sft,20,E_general,14,0.05,7,15.142857142857142,1.4640010501577199,4.605075376765688,0.6933524856842824,0.9146911627094682,0.04647958896659619,0.0009342821917139014
llama,sft,20,E_general,14,0.1,7,8.857142857142858,1.4640010501577199,4.605075376765688,0.6933524856842824,0.9146911627094682,0.09341606811970375,0.0029969932370552143
llama,sft,20,E_if,14,0.01,7,23.571428571428573,1.4098174087892985,3.702211144040727,0.7408068060869993,0.9390356427136154,0.009503281856031286,0.00040141236867740195
llama,sft,20,E_if,14,0.025,7,17.428571428571427,1.4098174087892985,3.702211144040727,0.7408068060869993,0.9390356427136154,0.023429995653270832,0.0005286933636239944
llama,sft,20,E_if,14,0.05,7,11.428571428571429,1.4098174087892985,3.702211144040727,0.7408068060869993,0.9390356427136154,0.047162994757032284,0.0014850501326606857
llama,sft,20,E_if,14,0.1,7,6.0,1.4098174087892985,3.702211144040727,0.7408068060869993,0.9390356427136154,0.09246546697963268,0.005608634127334657
llama,sft,20,E_math,14,0.01,7,21.142857142857142,1.270760648612286,3.033163343279336,0.8049845104089399,0.9524066103869939,0.009288351415020043,0.00041452300596272855
llama,sft,20,E_math,14,0.025,7,14.285714285714286,1.270760648612286,3.033163343279336,0.8049845104089399,0.9524066103869939,0.02350629362411907,0.0006835729692107858
llama,sft,20,E_math,14,0.05,7,8.857142857142858,1.270760648612286,3.033163343279336,0.8049845104089399,0.9524066103869939,0.04747416513971869,0.0016735340790342715
llama,sft,20,E_math,14,0.1,7,4.571428571428571,1.270760648612286,3.033163343279336,0.8049845104089399,0.9524066103869939,0.08818501805196598,0.0068867262506555
