model,arm,checkpoint,probe_name,layer,epsilon,module_count,centered_state_rank,centered_state_rank_base,centered_absolute_contraction,centered_relative_contraction_equal7,uncentered_state_rank,uncentered_state_rank_base,uncentered_absolute_contraction,uncentered_relative_contraction_equal7
llama,opd,20,E_general,14,0.1,7,671.8571428571429,679.1428571428571,7.285714285714286,0.01044223006257992,509.42857142857144,517.2857142857143,7.857142857142857,0.020254446577387897
llama,opd,20,E_if,14,0.01,7,1532.7142857142858,1543.7142857142858,11.0,0.006873793401399709,1302.142857142857,1319.857142857143,17.714285714285715,0.013936420357796254
llama,opd,20,E_if,14,0.025,7,1188.5714285714287,1200.5714285714287,12.0,0.009794924300346267,949.1428571428571,966.7142857142857,17.571428571428573,0.01986725328609425
llama,opd,20,E_if,14,0.05,7,890.5714285714286,902.2857142857143,11.714285714285714,0.012520248138284276,675.2857142857143,691.2857142857143,16.0,0.02777228646914987
llama,opd,20,E_if,14,0.1,7,582.8571428571429,593.1428571428571,10.285714285714286,0.01616718954959701,422.85714285714283,435.7142857142857,12.857142857142858,0.037135552533049794
llama,opd,20,E_math,14,0.01,7,823.8571428571429,835.1428571428571,11.285714285714286,0.013230620038821668,686.7142857142857,701.7142857142857,15.0,0.022370353816318623
llama,opd,20,E_math,14,0.025,7,613.2857142857143,624.0,10.714285714285714,0.01683953924794873,481.42857142857144,495.14285714285717,13.714285714285714,0.03072426354266606
llama,opd,20,E_math,14,0.05,7,449.57142857142856,459.2857142857143,9.714285714285714,0.02069516388128204,333.85714285714283,345.42857142857144,11.571428571428571,0.040697522427872994
llama,opd,20,E_math,14,0.1,7,292.85714285714283,300.42857142857144,7.571428571428571,0.024254727176750295,204.71428571428572,213.14285714285714,8.428571428571429,0.046924874499712214
llama,opd,20,E_ood,14,0.01,7,1555.0,1565.7142857142858,10.714285714285714,0.00633654133861148,1327.142857142857,1343.5714285714287,16.428571428571427,0.012395663924630169
llama,opd,20,E_ood,14,0.025,7,1213.2857142857142,1225.2857142857142,12.0,0.008607866175290435,975.2857142857143,992.7142857142857,17.428571428571427,0.01914680196007663
llama,opd,20,E_ood,14,0.05,7,915.5714285714286,928.0,12.428571428571429,0.01195874680227568,701.7142857142857,717.4285714285714,15.714285714285714,0.027909999685401286
llama,opd,20,E_ood,14,0.1,7,605.7142857142857,616.8571428571429,11.142857142857142,0.01570005699350935,449.42857142857144,461.85714285714283,12.428571428571429,0.03383233579511688
