model,target,task_type,feature_block,heldout_checkpoint,train_checkpoints,test_n,test_r2,test_mae,test_spearman,target_mean,target_std,test_auc,test_log_loss,test_balanced_accuracy,n_positive,n_negative
llama,delta_nll_cumulative,regression,A+C,40,"5,20,160",16,0.721319634278538,0.03031472414987696,0.4823529411764706,0.02505947651299886,0.0651299158720076,,,,,
llama,delta_nll_cumulative,regression,A+C,160,"5,20,40",16,0.6125087405398566,0.0401554405431776,0.6705882352941177,0.04499182229881536,0.08089326201522372,,,,,
llama,delta_nll_cumulative,regression,Pk+A,5,"20,40,160",16,-259.59098894912717,0.04300229997926451,0.2676470588235294,-0.0008774103205383501,0.0031143868742013053,,,,,
llama,delta_nll_cumulative,regression,Pk+A,20,"5,40,160",16,-0.6942844960533641,0.03183569555852259,0.6617647058823529,0.009544498756565305,0.03851624739454134,,,,,
llama,delta_nll_cumulative,regression,Pk+A,40,"5,20,160",16,0.6355749790955291,0.031243379277398828,0.6235294117647059,0.02505947651299886,0.0651299158720076,,,,,
llama,delta_nll_cumulative,regression,Pk+A,160,"5,20,40",16,0.5324655042287811,0.04716337598730137,0.4588235294117647,0.04499182229881536,0.08089326201522372,,,,,
llama,delta_nll_cumulative,regression,Pk+C,5,"20,40,160",16,-224.78713048435696,0.03975705523710445,0.10588235294117648,-0.0008774103205383501,0.0031143868742013053,,,,,
llama,delta_nll_cumulative,regression,Pk+C,20,"5,40,160",16,-0.34509086657615895,0.03138088698551707,0.4205882352941176,0.009544498756565305,0.03851624739454134,,,,,
llama,delta_nll_cumulative,regression,Pk+C,40,"5,20,160",16,0.6091603162029394,0.030938024653861182,0.5029411764705883,0.02505947651299886,0.0651299158720076,,,,,
llama,delta_nll_cumulative,regression,Pk+C,160,"5,20,40",16,0.6007379683819951,0.038832854618013515,0.4970588235294117,0.04499182229881536,0.08089326201522372,,,,,
llama,delta_nll_cumulative,regression,Pk+A+C,5,"20,40,160",16,-240.7429562385647,0.04193605982598826,0.44117647058823534,-0.0008774103205383501,0.0031143868742013053,,,,,
llama,delta_nll_cumulative,regression,Pk+A+C,20,"5,40,160",16,0.557739697280961,0.02146955127375644,0.7205882352941175,0.009544498756565305,0.03851624739454134,,,,,
llama,delta_nll_cumulative,regression,Pk+A+C,40,"5,20,160",16,0.7330315190400196,0.02627041185890972,0.6029411764705882,0.02505947651299886,0.0651299158720076,,,,,
llama,delta_nll_cumulative,regression,Pk+A+C,160,"5,20,40",16,0.6163901791093742,0.03769807105259214,0.44705882352941173,0.04499182229881536,0.08089326201522372,,,,,
llama,is_opd,classification,A,5,"20,40,160",16,,,,,,0.5416666666666666,0.5943639950168053,0.5,4.0,12.0
llama,is_opd,classification,A,20,"5,40,160",16,,,,,,0.875,0.5408874361663831,0.5,4.0,12.0
llama,is_opd,classification,A,40,"5,20,160",16,,,,,,0.7916666666666666,0.5404175633475711,0.5,4.0,12.0
llama,is_opd,classification,A,160,"5,20,40",16,,,,,,0.5625,0.6771036614440583,0.5,4.0,12.0
llama,is_opd,classification,C,5,"20,40,160",16,,,,,,0.125,1.2439882355681384,0.5,4.0,12.0
llama,is_opd,classification,C,20,"5,40,160",16,,,,,,0.9583333333333334,0.346803912352836,0.625,4.0,12.0
llama,is_opd,classification,C,40,"5,20,160",16,,,,,,1.0,0.3125414936321864,0.875,4.0,12.0
llama,is_opd,classification,C,160,"5,20,40",16,,,,,,0.9583333333333334,0.5673523297584693,0.8333333333333333,4.0,12.0
llama,is_opd,classification,Pk,5,"20,40,160",16,,,,,,0.0,1.9195178396534505,0.5,4.0,12.0
llama,is_opd,classification,Pk,20,"5,40,160",16,,,,,,1.0,0.04081219241513983,1.0,4.0,12.0
llama,is_opd,classification,Pk,40,"5,20,160",16,,,,,,1.0,0.03321347212788555,1.0,4.0,12.0
llama,is_opd,classification,Pk,160,"5,20,40",16,,,,,,1.0,0.04439637378489562,1.0,4.0,12.0
llama,is_opd,classification,A+C,5,"20,40,160",16,,,,,,0.3333333333333333,2.0830460270743583,0.5,4.0,12.0
llama,is_opd,classification,A+C,20,"5,40,160",16,,,,,,1.0,0.2838049489132807,0.625,4.0,12.0
llama,is_opd,classification,A+C,40,"5,20,160",16,,,,,,1.0,0.23836046345382178,1.0,4.0,12.0
llama,is_opd,classification,A+C,160,"5,20,40",16,,,,,,0.9375,0.45585976067020284,0.9166666666666667,4.0,12.0
llama,is_opd,classification,Pk+A,5,"20,40,160",16,,,,,,0.0,1.8959142943632192,0.5,4.0,12.0
llama,is_opd,classification,Pk+A,20,"5,40,160",16,,,,,,1.0,0.04229135145057118,1.0,4.0,12.0
llama,is_opd,classification,Pk+A,40,"5,20,160",16,,,,,,1.0,0.03408465971160461,1.0,4.0,12.0
llama,is_opd,classification,Pk+A,160,"5,20,40",16,,,,,,1.0,0.04120444110256903,1.0,4.0,12.0
llama,is_opd,classification,Pk+C,5,"20,40,160",16,,,,,,0.0,1.932990618072736,0.5,4.0,12.0
llama,is_opd,classification,Pk+C,20,"5,40,160",16,,,,,,1.0,0.04125774546033266,1.0,4.0,12.0
llama,is_opd,classification,Pk+C,40,"5,20,160",16,,,,,,1.0,0.03438238438167057,1.0,4.0,12.0
llama,is_opd,classification,Pk+C,160,"5,20,40",16,,,,,,1.0,0.03420094174896564,1.0,4.0,12.0
llama,is_opd,classification,Pk+A+C,5,"20,40,160",16,,,,,,0.2708333333333333,1.918170013767628,0.5,4.0,12.0
llama,is_opd,classification,Pk+A+C,20,"5,40,160",16,,,,,,1.0,0.044475369570070186,1.0,4.0,12.0
llama,is_opd,classification,Pk+A+C,40,"5,20,160",16,,,,,,1.0,0.03512767612839052,1.0,4.0,12.0
llama,is_opd,classification,Pk+A+C,160,"5,20,40",16,,,,,,1.0,0.03209517397127455,1.0,4.0,12.0
